alternatywny	alternatywa
pięćdziesięciocentymetrowy	centymetr
kilkunastocalowy	cal
kilkudziesięciocalowy	cal
jednocalowy	cal
dwucalowy	cal
trzycalowy	cal
pięciocalowy	cal
sześciocalowy	cal
siedmiocalowy	cal
ośmiocalowy	cal
dziewięciocalowy	cal
dziesięciocalowy	cal
czterominutowy	minuta
sześciominutowy	minuta
siedmiominutowy	minuta
ośmiominutowy	minuta
dziewięciominutowy	minuta
jedenastominutowy	minuta
dwunastominutowy	minuta
jedenastocalowy	cal
dwunastocalowy	cal
trzynastocalowy	cal
czternastocalowy	cal
piętnastocalowy	cal
szesnastocalowy	cal
siedemnastocalowy	cal
osiemnastocalowy	cal
dziewiętnastocalowy	cal
dwudziestocalowy	cal
dwudziestojednocalowy	cal
dwudziestodwucalowy	cal
dwudziestotrzycalowy	cal
dwudziestoczterocalowy	cal
dwudziestopięciocalowy	cal
dwudziestosześciocalowy	cal
dwudziestosiedmiocalowy	cal
dwudziestoośmiocalowy	cal
dwudziestodziewięciocalowy	cal
trzydziestocalowy	cal
trzydziestojednocalowy	cal
trzydziestodwucalowy	cal
trzydziestoczterocalowy	cal
trzydziestosześciocalowy	cal
trzydziestosiedmiocalowy	cal
trzydziestoośmiocalowy	cal
trzydziestodziewięciocalowy	cal
czterdziestodwucalowy	cal
czterdziestotrzycalowy	cal
czterdziestosześciocalowy	cal
czterdziestosiedmiocalowy	cal
czterdziestoośmiocalowy	cal
czterdziestodziewięciocalowy	cal
pięćdziesięciocalowy	cal
trzynastominutowy	minuta
czternastominutowy	minuta
szesnastominutowy	minuta
siedemnastominutowy	minuta
osiemnastominutowy	minuta
dziewiętnastominutowy	minuta
dwudziestojednominutowy	minuta
pięcioklasowy	klasa
pięcioklasowy	klasa
dwuklasowy	klasa
wieloklasowy	klasa
dwuklasowy	klasa
ściółkowy	ściółka
ściółkowy	ściółka
wieloklasowy	klasa
ściółkowy	ściółka
trzyklasowy	klasa
wieloklasowy	klasa
jednoklasowy	klasa
jednoklasowy	klasa
jednoklasowy	klasa
czteroklasowy	klasa
średniówkowy	średniówka
dwudziestodwuminutowy	minuta
dwudziestotrzyminutowy	minuta
dwudziestoczterominutowy	minuta
dwudziestopięciominutowy	minuta
dwudziestosześciominutowy	minuta
dwudziestosiedmiominutowy	minuta
dwudziestoośmiominutowy	minuta
dwudziestodziewięciominutowy	minuta
trzydziestominutowy	minuta
trzydziestojednominutowy	minuta
trzydziestodwuminutowy	minuta
trzydziestotrzyminutowy	minuta
trzydziestoczterominutowy	minuta
trzydziestopięciominutowy	minuta
trzydziestosześciominutowy	minuta
trzydziestosiedmiominutowy	minuta
trzydziestoośmiominutowy	minuta
trzydziestodziewięciominutowy	minuta
czterdziestominutowy	minuta
czterdziestojednominutowy	minuta
czterdziestodwuminutowy	minuta
czterdziestotrzyminutowy	minuta
czterdziestoczterominutowy	minuta
czterdziestopięciominutowy	minuta
czterdziestosześciominutowy	minuta
czterdziestosiedmiominutowy	minuta
czterdziestoośmiominutowy	minuta
czterdziestodziewięciominutowy	minuta
pięćdziesięciominutowy	minuta
pięćdziesięciojednominutowy	minuta
pięćdziesięciodwuminutowy	minuta
pięćdziesięciotrzyminutowy	minuta
pięćdziesięcioczterominutowy	minuta
pięćdziesięciopięciominutowy	minuta
pięćdziesięciojednocalowy	cal
pięćdziesięciodwucalowy	cal
pięćdziesięcioczterocalowy	cal
pięćdziesięciopięciocalowy	cal
pięćdziesięciosześciocalowy	cal
pięćdziesięciosiedmiocalowy	cal
pięćdziesięcioośmiocalowy	cal
pięćdziesięciodziewięciocalowy	cal
sześćdziesięciocalowy	cal
sześćdziesięciojednocalowy	cal
sześćdziesięciodwucalowy	cal
sześćdziesięciotrzycalowy	cal
sześćdziesięcioczterocalowy	cal
sześćdziesięciopięciocalowy	cal
sześćdziesięciosześciocalowy	cal
sześćdziesięciosześciocalowy	cal
siedemdziesięciocalowy	cal
siedemdziesięciojednocalowy	cal
siedemdziesięciodwucalowy	cal
siedemdziesięciotrzycalowy	cal
siedemdziesięcioczterocalowy	cal
siedemdziesięciopięciocalowy	cal
siedemdziesięciosześciocalowy	cal
siedemdziesięciosiedmiocalowy	cal
siedemdziesięcioośmiocalowy	cal
siedemdziesięciodziewięciocalowy	cal
osiemdziesięciocalowy	cal
osiemdziesięciojednocalowy	cal
osiemdziesięciodwucalowy	cal
osiemdziesięcioczterocalowy	cal
osiemdziesięciopięciocalowy	cal
osiemdziesięciosześciocalowy	cal
osiemdziesięciosiedmiocalowy	cal
osiemdziesięcioośmiocalowy	cal
osiemdziesięciodziewięciocalowy	cal
dziewięćdziesięciocalowy	cal
dziewięćdziesięciodwucalowy	cal
dziewięćdziesięcioczterocalowy	cal
dziewięćdziesięciopięciocalowy	cal
dziewięćdziesięciosześciocalowy	cal
dziewięćdziesięciosiedmiocalowy	cal
dziewięćdziesięcioośmiocalowy	cal
stucalowy	cal
pięćdziesięciosześciominutowy	minuta
pięćdziesięciosiedmiominutowy	minuta
pięćdziesięcioośmiominutowy	minuta
pięćdziesięciodziewięciominutowy	minuta
dziewięćdziesięciominutowy	minuta
japoński	Japończyk
zębowaty	ząb
czułkowaty	czułek
klejorodny	klej
stukonny	koń mechaniczny
afgański	Afgańczyk
czyrakowaty	czyrak
dwuwierzchołkowy	wierzchołek
azjatycki	Azjata
hedonistyczny	hedonizm
trójklasowy	klasa
trójklasowy	klasa
piaskowaty	piasek
lawiniasty	lawina
jednobiegunowy	biegun
kształtowy	kształt
kolcowy	kolec
kolcowy	kolec
kolcowy	kolec
rozrusznikowy	rozrusznik
austriacki	Austriak
chlorofilowy	chlorofil
belgijski	Belg
afatyczny	afazja
stulistny	liść
białoruski	Białorusin
krzaczasty	krzak
plamiasty	plama
pięciocyfrowy	cyfra
siedmiocyfrowy	cyfra
aberracyjny	aberracja
hełmiasty	hełm
renomowany	renoma
referatowy	referat
stałoprzecinkowy	przecinek
zmiennoprzecinkowy	przecinek
interakcjonistyczny	interakcja
kiciasty	kita
kołtuniasty	kołtun
syfiasty	syf
syfiasty	syf
frędzlasty	frędzel
zębiasty	ząb
zębiasty	ząb
monoteistyczny	monoteizm
politeistyczny	politeizm
henoteistyczny	henoteizm
prekognitywny	prekognicja
gładkolufowy	lufa
skrzydlasty	skrzydło
uszasty	ucho
uszasty	ucho
człekokształtny	kształt
wielojądrzasty	jądro
dwujądrzasty	jądro
korzeniasty	korzeń
dziurkowany	dziurka
blaszkowy	blaszka
blaszkowy	blaszka
półprocentowy	procent
egalitarny	egalitaryzm
egalitarystyczny	egalitaryzm
wielocylindrowy	cylinder
ośmiopokojowy	pokój
półtoralitrowy	litr
egalitarny	egalitaryzm
egalitarystyczny	egalitaryzm
kieszeniowy	kieszeń
kieszeniowy	kieszeń
transgeniczny	gen
czteropłatowy	płat
czterotaktowy	takt
gwiazdorski	gwiazdor
czterotaktowy	takt
skorupowy	skorupa
dwużyłowy	żyła
jednożyłowy	żyła
krzywkowy	krzywka
masztowy	maszt
paskowy	pasek
wielożyłowy	żyła
fałdowy	fałda
srebrnobrody	broda
syndykalistyczny	syndykalista
gruzełkowaty	gruzełek
krewniaczy	krewniak
złotolistny	liść
orosiały	rosa
mulasty	muł
biodrzasty	biodro
tysiąckilometrowy	kilometr
tysiąckilometrowy	tysiąc
tysiąckilometrowy	tysiąc
tysiąckilometrowy	kilometr
węglonośny	węgiel
drobnocząsteczkowy	cząsteczka
kłaczasty	kłak
rośny	rosa
wielonawowy	nawa
bąblasty	bąbel
kapturzasty	kaptur
łaciasty	łata
wielkoformatowy	format
wielostronicowy	stronica
badylasty	badyl
badylasty	badyl
czubiasty	czub
miniasty	mina
trąbiasty	trąba
wernisażowy	wernisaż
czupryniasty	czupryna
pokoleniowy	pokolenie
orzecznikowy	orzecznik
krzaczysty	krzak
mszysty	mech
balansowy	balans
bratobójczy	bratobójstwo
kiczowy	kicz
półcentymetrowy	centymetr
pięciomilimetrowy	milimetr
centryczny	centrum
opoczysty	opoka
piarżysty	piarg
dewocyjny	dewocja
wzgórzysty	wzgórze
świrnięty	świr
korbnięty	korba
dwuwykładny	wykładnia
szajbnięty	szajba
woluntarystyczny	woluntaryzm
kropiasty	kropka
kropkowaty	kropka
atoniczny	atonia
kilkucalowy	cal
czterocalowy	cal
półcalowy	cal
ćwierćcalowy	cal
ćwierćcalowy	cal
emocyjny	emocja
kilkumilowy	mila
czteromilowy	mila
pięciomilowy	mila
sześciomilowy	mila
siedmiomilowy	mila
ośmiomilowy	mila
dziewięciomilowy	mila
dziesięciomilowy	mila
kilkunastomilowy	mila
jedenastomilowy	mila
dwunastomilowy	mila
czternastomilowy	mila
piętnastomilowy	mila
szesnastomilowy	mila
siedemnastomilowy	mila
osiemnastomilowy	mila
kilkudziesięciomilowy	mila
dwudziestomilowy	mila
trzydziestomilowy	mila
czterdziestomilowy	mila
pięćdziesięciomilowy	mila
sześćdziesięciomilowy	mila
siedemdziesięciomilowy	mila
osiemdziesięciomilowy	mila
kilkudziesięciokilometrowy	kilometr
dwudziestokilometrowy	kilometr
marglisty	margiel
kofeinowy	kofeina
multidyscyplinarny	dyscyplina
wielodyscyplinarny	dyscyplina
multidyscyplinarny	dyscyplina
trzydziestokilometrowy	kilometr
czterdziestokilometrowy	kilometr
pięćdziesięciokilometrowy	kilometr
sześćdziesięciokilometrowy	kilometr
siedemdziesięciokilometrowy	kilometr
osiemdziesięciokilometrowy	kilometr
dziewięćdziesięciokilometrowy	kilometr
małonakładowy	nakład
formularzowy	formularz
alkierzowy	alkierz
wielonakładowy	nakład
domkowy	domek
powietrzny	powietrze
harfowy	harfa
topikowy	topik
syfny	syf
zdobniczy	zdobnictwo
jednonożny	noga
włosisty	włosie
piersisty	piersi
flegmisty	flegma
czterowierszowy	wiersz
czterowersowy	wers
czterowersowy	wers
czterowierszowy	wiersz
pięciowersowy	wers
pięciowierszowy	wiersz
pięciowersowy	wers
pięciowierszowy	wiersz
sześciowersowy	wers
sześciowierszowy	wiersz
sześciowierszowy	wiersz
sześciowersowy	wers
trójwersowy	wers
trójwierszowy	wiersz
trzywersowy	wers
trzywierszowy	wiersz
trójwersowy	wers
trójwierszowy	wiersz
trzywersowy	wers
trzywierszowy	wiersz
dwunastoprocentowy	procent
czteropalnikowy	palnik
dwupalnikowy	palnik
dwunastoprocentowy	procent
amerykański	Amerykanin
korzenisty	korzeń
krótkowłóknisty	włókno
ciemnoskóry	skóra
marynarkowy	marynarka
4-palnikowy	palnik
2-palnikowy	palnik
20-calowy	cal
20-calowy	cal
20-calowy	cal
pięciolitrowy	litr
pięciolitrowy	litr
grubokroplisty	kropla
frędzlisty	frędzel
polisty	pole
polisty	poła
cięgnowy	cięgno
zębatkowy	zębatka
pięciokilowy	kilo
półkilowy	kilo
półtorakilogramowy	kilogram
półtorakilowy	kilo
równoimienny	imię
kilkusetstronicowy	stronica
obłoczny	obłok
obłoczysty	obłok
kałużysty	kałuża
hip-hopowy	hip-hop
hiphopowy	hiphop
galeriowy	galeria
repulsorowy	repulsor
5-litrowy	litr
5-litrowy	litr
3-litrowy	litr
drobnokomórkowy	komórka
jednośladowy	ślad
pięciotomowy	tom
sześciotomowy	tom
siedmiotomowy	tom
ośmiotomowy	tom
dziewięciotomowy	tom
dziesięciotomowy	tom
kilkutomowy	tom
klapowy	klapa
napalmowy	napalm
niskoalkoholowy	alkohol
wysokoalkoholowy	alkohol
kilkunastotomowy	tom
kilkudziesięciotomowy	tom
kilkusettomowy	tom
jedenastotomowy	tom
dwunastotomowy	tom
trzynastotomowy	tom
czternastotomowy	tom
piętnastotomowy	tom
szesnastotomowy	tom
siedemnastotomowy	tom
osiemnastotomowy	tom
dziewiętnastotomowy	tom
dwudziestotomowy	tom
trzydziestotomowy	tom
czterdziestotomowy	tom
pięćdziesięciotomowy	tom
sześćdziesięciotomowy	tom
dziewięćdziesięciotomowy	tom
stutomowy	tom
dwustutomowy	tom
nerwicowy	nerwica
neurotyczny	neuroza
trójskładnikowy	składnik
trzyskładnikowy	składnik
kaktusowaty	kaktus
rozchodnikowy	rozchodnik
autokefaliczny	autokefalia
przedziałowy	przedział
czteroosiowy	oś
czteroosiowy	oś
pięcioosiowy	oś
siedmioosiowy	oś
siedmioosiowy	oś
szerokotorowy	tor
daktyliczny	daktyl
niskopodwoziowy	podwozie
jednozgłoskowy	zgłoska
20-centymetrowy	centymetr
20-centymetrowy	centymetr
24-calowy	cal
20-calowy	cal
24-calowy	cal
realistyczny	realizm
24-centymetrowy	centymetr
24-centymetrowy	centymetr
24-dniowy	dzień
europejski	Europejczyk
24-kilogramowy	kilogram
24-letni	lata
24-miesięczny	miesiąc
24-minutowy	minuta
24-stopniowy	stopień
24-stopniowy	stopień
24-stopniowy	stopień
20-dniowy	dzień
22-calowy	cal
22-calowy	cal
22-centymetrowy	centymetr
22-centymetrowy	centymetr
dwudziestoczterogodzinny	godzina
24-godzinny	godzina
dwudziestodwugodzinny	godzina
22-godzinny	godzina
22-kilogramowy	kilogram
22-letni	lata
22-miesięczny	miesiąc
22-minutowy	minuta
żeberkowy	żeberko
głagolicki	głagolica
22-stopniowy	stopień
22-stopniowy	stopień
29-calowy	cal
29-calowy	cal
29-centymetrowy	centymetr
29-centymetrowy	centymetr
29-kilogramowy	kilogram
29-miesięczny	miesiąc
29-minutowy	minuta
antypatriotyczny	antypatriotyzm
pestkowy	pestka
jednopalcowy	palec
jednoskładnikowy	składnik
niemiecki	Niemiec
16-calowy	cal
16-calowy	cal
16-calowy	cal
16-calowy	cal
połyskowy	połysk
śmigłowy	śmigło
jednopalcowy	palec
zwietrzelinowy	zwietrzelina
dwudziestogodzinny	godzina
20-godzinny	godzina
czterdziestogodzinny	godzina
40-godzinny	godzina
siarczanowy	siarczan
trzydziestogodzinny	godzina
30-godzinny	godzina
woreczkowy	woreczek
brązowooki	oko
brązowowłosy	włosy
kasztanowłosy	włosy
wąskobiodry	biodro
szerokobiodry	biodro
dekretowy	dekret
płatkowy	płatek
40-dniowy	dzień
40-tygodniowy	tydzień
14-dniowy	dzień
14-tygodniowy	tydzień
4-dniowy	dzień
4-tygodniowy	tydzień
2-dniowy	dzień
22-dniowy	dzień
29-dniowy	dzień
28-dniowy	dzień
28-tygodniowy	tydzień
25-dniowy	dzień
27-dniowy	dzień
27-tygodniowy	tydzień
26-dniowy	dzień
dwudziestosześciotygodniowy	tydzień
26-tygodniowy	tydzień
gruboskóry	skóra
cienkoskóry	skóra
liberyjny	liberia
23-dniowy	dzień
20-tygodniowy	tydzień
12-dniowy	dzień
12-tygodniowy	tydzień
2-tygodniowy	tydzień
10-dniowy	dzień
10-tygodniowy	tydzień
9-dniowy	dzień
9-tygodniowy	tydzień
19-dniowy	dzień
19-tygodniowy	tydzień
wydmowy	wydma
efektowy	efekt
glutenowy	gluten
11-dniowy	dzień
11-tygodniowy	tydzień
18-dniowy	dzień
18-tygodniowy	tydzień
8-dniowy	dzień
8-tygodniowy	tydzień
5-dniowy	dzień
zazdrościwy	zazdrość
5-tygodniowy	tydzień
15-dniowy	dzień
15-tygodniowy	tydzień
17-dniowy	dzień
17-tygodniowy	tydzień
7-dniowy	dzień
7-tygodniowy	tydzień
16-dniowy	dzień
16-tygodniowy	tydzień
6-dniowy	dzień
6-tygodniowy	tydzień
3-dniowy	dzień
30-dniowy	dzień
36-tygodniowy	tydzień
30-tygodniowy	tydzień
13-dniowy	dzień
13-tygodniowy	tydzień
3-tygodniowy	tydzień
2-odcinkowy	odcinek
2-żyłowy	żyła
długoskrzydły	skrzydło
krótkoskrzydły	skrzydło
wielkoskrzydły	skrzydło
małoskrzydły	skrzydło
małoskrzydły	skrzydło
wieloskrzydły	skrzydło
srebrnopióry	pierze
srebrnopióry	pióro
brązowopióry	pierze
brązowopióry	pióro
zielonopióry	pierze
zielonopióry	pióro
niebieskopióry	pierze
niebieskopióry	pióro
czerwonopióry	pióro
czerwonopióry	pierze
żółtopióry	pierze
żółtopióry	pióro
złotopióry	pierze
złotopióry	pióro
siwopióry	pierze
siwopióry	pióro
20-procentowy	procent
20-procentowy	procent
12-procentowy	procent
krótkodzioby	dziób
12-procentowy	procent
wielkodzioby	dziób
ostrodzioby	dziób
10-procentowy	procent
30-procentowy	procent
30-procentowy	procent
czterdziestoprocentowy	procent
40-procentowy	procent
czterdziestoprocentowy	procent
40-procentowy	procent
8-procentowy	procent
8-procentowy	procent
6-procentowy	procent
siedemdziesięcioprocentowy	procent
70-procentowy	procent
siedemdziesięcioprocentowy	procent
70-procentowy	procent
wrębny	wrąb
podagryczny	podagra
wielosylabowy	sylaba
wielozgłoskowy	zgłoska
kilkusylabowy	sylaba
trzysylabowy	sylaba
czterosylabowy	sylaba
pięciosylabowy	sylaba
sześciosylabowy	sylaba
siedmiosylabowy	sylaba
ośmiosylabowy	sylaba
dziewięciosylabowy	sylaba
dziesięciosylabowy	sylaba
kilkunastosylabowy	sylaba
jedenastosylabowy	sylaba
dwunastosylabowy	sylaba
trzynastosylabowy	sylaba
czternastosylabowy	sylaba
pięcioliterowy	litera
sześcioliterowy	litera
siedmioliterowy	litera
ośmioliterowy	litera
dziewięcioliterowy	litera
dziesięcioliterowy	litera
wieloliterowy	litera
kilkunastoliterowy	litera
kilkudziesięcioliterowy	litera
jedenastoliterowy	litera
dwunastoliterowy	litera
trzynastoliterowy	litera
czternastoliterowy	litera
piętnastoliterowy	litera
szesnastoliterowy	litera
siedemnastoliterowy	litera
osiemnastoliterowy	litera
dwudziestoliterowy	litera
czterdziestoliterowy	litera
pięćdziesięcioliterowy	litera
stuliterowy	litera
przeziernikowy	przeziernik
szprychowy	szprycha
pięćdziesięcioprocentowy	procent
50-procentowy	procent
pięćdziesięcioprocentowy	procent
50-procentowy	procent
makadamowy	makadam
sześćdziesięcioprocentowy	procent
60-procentowy	procent
sześćdziesięcioprocentowy	procent
60-procentowy	procent
osiemdziesięcioprocentowy	procent
80-procentowy	procent
osiemdziesięcioprocentowy	procent
80-procentowy	procent
dziewięćdziesięcioprocentowy	procent
90-procentowy	procent
dziewięćdziesięcioprocentowy	procent
90-procentowy	procent
40-centymetrowy	centymetr
40-centymetrowy	centymetr
44-centymetrowy	centymetr
44-centymetrowy	centymetr
42-centymetrowy	centymetr
42-centymetrowy	centymetr
49-centymetrowy	centymetr
trzywarstwowy	warstwa
49-centymetrowy	centymetr
41-centymetrowy	centymetr
41-centymetrowy	centymetr
48-centymetrowy	centymetr
48-centymetrowy	centymetr
45-centymetrowy	centymetr
45-centymetrowy	centymetr
trzywarstwowy	warstwa
47-centymetrowy	centymetr
trójwarstwowy	warstwa
47-centymetrowy	centymetr
46-centymetrowy	centymetr
46-centymetrowy	centymetr
43-centymetrowy	centymetr
43-centymetrowy	centymetr
14-centymetrowy	centymetr
14-centymetrowy	centymetr
4-centymetrowy	centymetr
4-centymetrowy	centymetr
2-centymetrowy	centymetr
parocentymetrowy	centymetr
parocentymetrowy	centymetr
parunastocentymetrowy	centymetr
parunastocentymetrowy	centymetr
parudziesięciocentymetrowy	centymetr
parudziesięciocentymetrowy	centymetr
2-centymetrowy	centymetr
21-centymetrowy	centymetr
21-centymetrowy	centymetr
28-centymetrowy	centymetr
28-centymetrowy	centymetr
27-centymetrowy	centymetr
27-centymetrowy	centymetr
26-centymetrowy	centymetr
26-centymetrowy	centymetr
23-centymetrowy	centymetr
23-centymetrowy	centymetr
12-centymetrowy	centymetr
12-centymetrowy	centymetr
prawdziwy	prawda
10-centymetrowy	centymetr
10-centymetrowy	centymetr
9-centymetrowy	centymetr
9-centymetrowy	centymetr
90-centymetrowy	centymetr
90-centymetrowy	centymetr
94-centymetrowy	centymetr
94-centymetrowy	centymetr
92-centymetrowy	centymetr
92-centymetrowy	centymetr
99-centymetrowy	centymetr
99-centymetrowy	centymetr
91-centymetrowy	centymetr
91-centymetrowy	centymetr
98-centymetrowy	centymetr
98-centymetrowy	centymetr
95-centymetrowy	centymetr
95-centymetrowy	centymetr
97-centymetrowy	centymetr
97-centymetrowy	centymetr
96-centymetrowy	centymetr
96-centymetrowy	centymetr
93-centymetrowy	centymetr
93-centymetrowy	centymetr
19-centymetrowy	centymetr
19-centymetrowy	centymetr
stromotorowy	tor
ostinatowy	ostinato
11-centymetrowy	centymetr
11-centymetrowy	centymetr
80-centymetrowy	centymetr
80-centymetrowy	centymetr
84-centymetrowy	centymetr
84-centymetrowy	centymetr
82-centymetrowy	centymetr
82-centymetrowy	centymetr
89-centymetrowy	centymetr
89-centymetrowy	centymetr
81-centymetrowy	centymetr
81-centymetrowy	centymetr
88-centymetrowy	centymetr
osiemdziesięcioośmiocentymetrowy	centymetr
88-centymetrowy	centymetr
85-centymetrowy	centymetr
85-centymetrowy	centymetr
87-centymetrowy	centymetr
87-centymetrowy	centymetr
86-centymetrowy	centymetr
86-centymetrowy	centymetr
83-centymetrowy	centymetr
83-centymetrowy	centymetr
18-centymetrowy	centymetr
18-centymetrowy	centymetr
8-centymetrowy	centymetr
8-centymetrowy	centymetr
5-centymetrowy	centymetr
5-centymetrowy	centymetr
50-centymetrowy	centymetr
50-centymetrowy	centymetr
54-centymetrowy	centymetr
54-centymetrowy	centymetr
52-centymetrowy	centymetr
rechotliwy	rechot
52-centymetrowy	centymetr
59-centymetrowy	centymetr
59-centymetrowy	centymetr
51-centymetrowy	centymetr
51-centymetrowy	centymetr
58-centymetrowy	centymetr
pięćdziesięcioośmiocentymetrowy	centymetr
58-centymetrowy	centymetr
55-centymetrowy	centymetr
55-centymetrowy	centymetr
57-centymetrowy	centymetr
57-centymetrowy	centymetr
56-centymetrowy	centymetr
56-centymetrowy	centymetr
53-centymetrowy	centymetr
warkotliwy	warkot
53-centymetrowy	centymetr
15-centymetrowy	centymetr
15-centymetrowy	centymetr
70-centymetrowy	centymetr
70-centymetrowy	centymetr
74-centymetrowy	centymetr
74-centymetrowy	centymetr
72-centymetrowy	centymetr
72-centymetrowy	centymetr
79-centymetrowy	centymetr
79-centymetrowy	centymetr
71-centymetrowy	centymetr
71-centymetrowy	centymetr
zaperzony	perz
78-centymetrowy	centymetr
78-centymetrowy	centymetr
75-centymetrowy	centymetr
75-centymetrowy	centymetr
77-centymetrowy	centymetr
77-centymetrowy	centymetr
76-centymetrowy	centymetr
76-centymetrowy	centymetr
73-centymetrowy	centymetr
73-centymetrowy	centymetr
17-centymetrowy	centymetr
17-centymetrowy	centymetr
7-centymetrowy	centymetr
7-centymetrowy	centymetr
16-centymetrowy	centymetr
16-centymetrowy	centymetr
6-centymetrowy	centymetr
6-centymetrowy	centymetr
60-centymetrowy	centymetr
60-centymetrowy	centymetr
64-centymetrowy	centymetr
64-centymetrowy	centymetr
62-centymetrowy	centymetr
62-centymetrowy	centymetr
69-centymetrowy	centymetr
69-centymetrowy	centymetr
61-centymetrowy	centymetr
61-centymetrowy	centymetr
68-centymetrowy	centymetr
68-centymetrowy	centymetr
65-centymetrowy	centymetr
65-centymetrowy	centymetr
67-centymetrowy	centymetr
67-centymetrowy	centymetr
66-centymetrowy	centymetr
66-centymetrowy	centymetr
63-centymetrowy	centymetr
63-centymetrowy	centymetr
3-centymetrowy	centymetr
3-centymetrowy	centymetr
30-centymetrowy	centymetr
30-centymetrowy	centymetr
34-centymetrowy	centymetr
34-centymetrowy	centymetr
32-centymetrowy	centymetr
32-centymetrowy	centymetr
39-centymetrowy	centymetr
39-centymetrowy	centymetr
31-centymetrowy	centymetr
31-centymetrowy	centymetr
38-centymetrowy	centymetr
38-centymetrowy	centymetr
35-centymetrowy	centymetr
35-centymetrowy	centymetr
37-centymetrowy	centymetr
37-centymetrowy	centymetr
36-centymetrowy	centymetr
36-centymetrowy	centymetr
33-centymetrowy	centymetr
33-centymetrowy	centymetr
13-centymetrowy	centymetr
13-centymetrowy	centymetr
40-kilometrowy	kilometr
14-kilometrowy	kilometr
4-kilometrowy	kilometr
20-kilometrowy	kilometr
2-kilometrowy	kilometr
12-kilometrowy	kilometr
10-kilometrowy	kilometr
9-kilometrowy	kilometr
90-kilometrowy	kilometr
19-kilometrowy	kilometr
11-kilometrowy	kilometr
80-kilometrowy	kilometr
18-kilometrowy	kilometr
8-kilometrowy	kilometr
5-kilometrowy	kilometr
50-kilometrowy	kilometr
15-kilometrowy	kilometr
70-kilometrowy	kilometr
17-kilometrowy	kilometr
7-kilometrowy	kilometr
100-kilometrowy	kilometr
16-kilometrowy	kilometr
6-kilometrowy	kilometr
60-kilometrowy	kilometr
30-kilometrowy	kilometr
3-kilometrowy	kilometr
13-kilometrowy	kilometr
1000-kilometrowy	kilometr
1000-kilometrowy	kilometr
rozkwiecony	kwiat
przysadkowaty	przysadka
20-metrowy	metr
90-metrowy	metr
80-metrowy	metr
50-metrowy	metr
40-metrowy	metr
70-metrowy	metr
60-metrowy	metr
30-metrowy	metr
40-metrowy	metr
20-metrowy	metr
90-metrowy	metr
80-metrowy	metr
modrooki	oko
50-metrowy	metr
70-metrowy	metr
60-metrowy	metr
30-metrowy	metr
długoogonkowy	ogonek
rozgłośny	rozgłos
konsystentny	konsystencja
półtoratonowy	tona
sowiooki	oko
terasowy	terasa
tysiąckilogramowy	kilogram
złotooki	oko
pięciowiekowy	wiek
kilkuwiekowy	wiek
sześciostrunowy	struna
jarmarkowy	jarmark
pętlowy	pętla
srebrnowłosy	włosy
talerzowy	talerz
czerwonoskrzydły	skrzydło
białokory	kora
białopienny	pień
krótkoogniskowy	ogniskowa
długoogniskowy	ogniskowa
wydmuchowy	wydmuch
łyżkowy	łyżka
jednoobiektywowy	obiektyw
domieszkowy	domieszka
fatalistyczny	fatalizm
fatalistyczny	fatalizm
ksenofobiczny	ksenofobia
ksenofobiczny	ksenofobia
mikoryzowy	mikoryza
nanometrowy	nanometr
socjopatyczny	socjopatia
nadranny	rano
podwieczorny	wieczór
małowymiarowy	wymiar
wieloprofilowy	profil
krótkorogi	róg
wielkorogi	róg
prezencyjny	prezencja
całotonowy	ton
komunikatywny	komunikat
kotwicowy	kotwica
stugłowy	głowa
stuoki	oko
tysiącgłowy	głowa
kamieniczny	kamienica
złotoskrzydły	skrzydło
grzechowy	grzech
półgąsienicowy	gąsienica
wielkotonażowy	tonaż
wielkotonażowy	tonaż
wielkotonażowy	tonaż
wielkotonażowy	tonaż
synkopowany	synkopa
synkopowy	synkopa
plafonowy	plafon
garniturowy	garnitur
marnotrawczy	marnotrawstwo
infradźwiękowy	infradźwięk
pechowy	pech
egocentryczny	egocentryzm
korytarzowy	korytarz
inertny	inercja
konwertorowy	konwertor
werystyczny	weryzm
fakturalny	faktura
wielowariantowy	wariant
stemplowy	stempel
adrenalinowy	adrenalina
kilkomilowy	mila
stugłosy	głos
tłoczkowy	tłoczek
listny	list
płomieniowy	płomień
inwencyjny	inwencja
dwuprocentowy	procent
dwuprocentowy	procent
ostrołuczny	ostrołuk
turbulentny	turbulencja
turbulentny	turbulencja
trójbiegunowy	biegun
trzybiegunowy	biegun
dwustukilogramowy	kilogram
prowokacyjny	prowokacja
wielostanowiskowy	stanowisko
łutowy	łut
kłębowy	kłąb
pięcioprocentowy	procent
pięcioprocentowy	procent
trzyprocentowy	procent
jednouchy	ucho
jednouchy	ucho
wydarzeniowy	wydarzenie
glonowy	glon
hallotronowy	hallotron
halotronowy	halotron
kaduczny	kaduk
emaliowy	emalia
emaliowany	emalia
emaliowy	emalia
mikroklimatyczny	mikroklimat
tralkowy	tralka
kontaktronowy	kontaktron
megawoltowy	megawolt
galonowy	galon
główkowy	główka
bijakowy	bijak
tysiąctonowy	tysiąc
tysiąctonowy	tona
wielodrożny	droga
acetylowy	acetyl
acylowy	acyl
przekładkowy	przekładka
trzydaniowy	danie
czterodaniowy	danie
dwudaniowy	danie
bożenarodzeniowy	Boże Narodzenie
czarnogrzywy	grzywa
