akceptować	zaakceptować
wydawać	wydać
wydawać	wydać
donosić	donieść
donosić	donieść
donosić	donieść
donaszać	donosić
skarżyć	naskarżyć
zaofiarowywać	zaofiarować
zaofiarowywać	zaofiarować
jednoczyć się	zjednoczyć się
odznaczać	odznaczyć
organizować się	zorganizować się
relatywizować	zrelatywizować
utożsamiać się	utożsamić się
wypunktowywać	wypunktować
wypunktowywać	wypunktować
wypunktowywać	wypunktować
absorbować	zaabsorbować
cumować	zacumować
dokować	zadokować
dokować	zadokować
zakotwiczać	zakotwiczyć
nagromadzać	nagromadzić
napływać	napłynąć
wpływać	wpłynąć
odkotwiczać	odkotwiczyć
przycumowywać	przycumować
odcumowywać	odcumować
odholowywać	odholować
odholowywać	odholować
przyholowywać	przyholować
spalać	spalić
puszczać z dymem	puścić z dymem
wyrysowywać	wyrysować
lobować	przelobować
spalać	spalić
spalać	spalić
przemeblowywać	przemeblować
przemeblowywać	przemeblować
skrupiać się	skrupić się
wynajmować się	wynająć się
wnikać	wniknąć
fryzować	ufryzować
drukować się	wydrukować się
kolportować	rozkolportować
kserować	skserować
przedrukowywać	przedrukować
przeglądać	przejrzeć
przeglądać	przejrzeć
przeglądać	przejrzeć
utleniać	utlenić
utleniać się	utlenić się
utleniać się	utlenić się
antagonizować	zantagonizować
dezintegrować	zdezintegrować
obradzać	obrodzić
wypłaszać	wypłoszyć
równouprawniać	równouprawnić
wtapiać się	wtopić się
wnikać	wniknąć
rozwarstwiać się	rozwarstwić się
pauperyzować	spauperyzować
pauperyzować się	spauperyzować się
atomizować	zatomizować
gubić	zgubić
gubić się	zagubić się
gubić się	zgubić się
gubić się	zgubić się
odradzać	odradzić
przepatrywać	przepatrzyć
wykopywać się	wykopać się
wypierać się	wyprzeć się
zamurowywać	zamurować
zaręczać	zaręczyć
uwalniać	uwolnić
wodować	zwodować
lokalizować	zlokalizować
wysysać	wyssać
wysysać	wyssać
kuć	wkuć
wchłaniać	wchłonąć
wchłaniać	wchłonąć
wchłaniać	wchłonąć
obrywać się	oberwać się
rozpękać się	rozpęknąć się
spiętrzać się	spiętrzyć się
spiętrzać się	spiętrzyć się
wygwizdywać	wygwizdać
wygwizdywać	wygwizdać
wypiętrzać się	wypiętrzyć się
linczować	zlinczować
krzepnąć	zakrzepnąć
krzepnąć	skrzepnąć
krzepnąć	okrzepnąć
dodzwaniać się	dodzwonić się
dodzwaniać się	dodzwonić się
przedzwaniać	przedzwonić
podwieszać	podwiesić
przekonstruowywać	przekonstruować
przepalać się	przepalić się
rozmontowywać	rozmontować
uziemiać	uziemić
uziemiać	uziemić
wmontowywać	wmontować
wmontowywać	wmontować
wymontowywać	wymontować
zasuwać się	zasunąć się
zatrzaskiwać się	zatrzasnąć się
zatrzaskiwać się	zatrzasnąć się
dogrzewać	dogrzać
dogrzewać	dogrzać
dekompletować się	zdekompletować się
delikatnieć	zdelikatnieć
doświetlać	doświetlić
demonopolizować	zdemonopolizować
monopolizować	zmonopolizować
odrapywać	odrapać
obdrapywać	obdrapać
motoryzować się	zmotoryzować się
modernizować się	zmodernizować się
unowocześniać się	unowocześnić się
obudowywać	obudować
obudowywać	obudować
obudowywać	obudować
obudowywać	obudować
obudowywać	obudować
kratować	zakratować
okratowywać	okratować
szklić	oszklić
rozszabrowywać	rozszabrować
wyrejestrowywać	wyrejestrować
naganiać	nagnać
naganiać	nagonić
wypatroszać	wypatroszyć
wybebeszać	wybebeszyć
oprawiać	oprawić
oporządzać	oporządzić
rozwalać się	rozwalić się
sklepiać	sklepić
zasklepiać	zasklepić
wychładzać	wychłodzić
wyziębiać	wyziębić
liczyć	policzyć
zamurowywać	zamurować
zapychać	zapchać
obliczać	obliczyć
zapychać	zapchać
zapychać	zapchać
zapychać	zapchać
rachować	porachować
zawalać	zawalić
przeliczać	przeliczyć
przerachowywać	przerachować
wyliczać	wyliczyć
wyliczać	wyliczyć
wyliczać	wyliczyć
doliczać się	doliczyć się
dorównywać	dorównać
zrównywać się	zrównać się
doganiać	dogonić
doganiać	dogonić
dopędzać	dopędzić
dopędzać	dopędzić
dościgać	doścignąć
dościgać	doścignąć
namierzać	namierzyć
namierzać	namierzyć
podkasywać	podkasać
przechytrzać	przechytrzyć
rozpinać	rozpiąć
rozpinać	rozpiąć
wyłapywać	wyłapać
zawijać się	zawinąć się
zaginać się	zagiąć się
odwiązywać	odwiązać
poluźniać	poluźnić
rozluźniać	rozluźnić
poluźniać	poluźnić
rozluźniać	rozluźnić
luzować	poluzować
rozpalać się	rozpalić się
rozpalać się	rozpalić się
rozpalać się	rozpalić się
rozplatać	rozpleść
rozplątywać	rozplątać
zadymiać	zadymić
obwiązywać	obwiązać
okręcać	okręcić
zawalać	zawalić
opróżniać się	opróżnić się
owiązywać	owiązać
podwiązywać	podwiązać
zawalać	zawalić
podwiązywać	podwiązać
zaludniać się	zaludnić się
animować	zaanimować
oduczać	oduczyć
animować	zaanimować
oduczać się	oduczyć się
ożywiać	ożywić
animować	zaanimować
odwykać	odwyknąć
popadać	popaść
wydzielać się	wydzielić się
wytrącać się	wytrącić się
wychwytywać	wychwycić
strącać się	strącić się
darniować	wydarniować
odlewać	odlać
odlewać	odlać
przelewać	przelać
przelewać	przelać
przelewać	przelać
przelewać	przelać
wlewać	wlać
nalewać	nalać
nalewać	nalać
zlewać	zlać
zlewać	zlać
zlewać	zlać
polewać	polać
polewać	polać
polewać	polać
wylewać	wylać
wylewać	wylać
wylewać	wylać
lać	polać
rozlewać	rozlać
rozlewać	rozlać
zalewać	zalać
zalewać	zalać
zalewać	zalać
zalewać	zalać
zalewać	zalać
zalewać	zalać
uzależniać się	uzależnić się
uzależniać się	uzależnić się
uzależniać	uzależnić
zacieśniać się	zacieśnić się
zawężać się	zawęzić się
ograniczać się	ograniczyć się
balsamować	zabalsamować
mumifikować	zmumifikować
sikać	siknąć
sikać	siknąć
durnieć	zdurnieć
rozbrajać	rozbroić
rozbrajać	rozbroić
rozładowywać	rozładować
rozbrajać	rozbroić
rozdysponowywać	rozdysponować
pospieszać	pospieszyć
oddelegowywać	oddelegować
dokooptowywać	dokooptować
odwoływać	odwołać
wykopywać	wykopać
wykopywać	wykopać
wykopywać	wykopać
legitymować	wylegitymować
kopać	kopnąć
obsiadać	obsiąść
butować	zbutować
kopać	skopać
podfruwać	podfrunąć
skopywać	skopać
skopywać	skopać
partaczyć	spartaczyć
partolić	spartolić
pozywać	pozwać
przekopywać	przekopać
przekopywać	przekopać
rozdziobywać	rozdziobać
zaświadczać	zaświadczyć
windykować	zwindykować
podbudowywać	podbudować
wysiadać	wysiąść
wysiadać	wysiąść
wygajać	wygoić
wygajać się	wygoić się
przejmować	przejąć
dojmować	dojąć
przenikać	przeniknąć
pocieszać	pocieszyć
zapalać	zapalić
zapalać	zapalić
zapalać	zapalić
zapalać	zapalić
pokrzepiać	pokrzepić
pustoszyć	opustoszyć
natężać	natężyć
wysilać	wysilić
wytężać	wytężyć
obezwładniać	obezwładnić
oszołamiać	oszołomić
oszałamiać	oszołomić
ogłuszać	ogłuszyć
otumaniać	otumanić
zamraczać	zamroczyć
podpalać	podpalić
podpalać	podpalić
odurzać	odurzyć
oszołamiać	oszołomić
porażać	porazić
rozpalać	rozpalić
ogłuszać	ogłuszyć
rozpalać	rozpalić
idiocieć	zidiocieć
kretynieć	skretynieć
pruć	spruć
palić	spalić
spalać	spalić
dziać	udziać
dziergać	wydziergać
szydełkować	wyszydełkować
wić	uwić
wyłaniać	wyłonić
obierać	obrać
dementować	zdementować
prostować	sprostować
korygować	skorygować
dystansować się	zdystansować się
odżegnywać się	odżegnać się
odżegnać się	odżegnywać się
odcinać się	odciąć się
podpisywać się	podpisać się
podpisywać się	podpisać się
wyłamywać się	wyłamać się
zawisać	zawisnąć
zaklęsać się	zaklęsnąć się
dociskać	docisnąć
dokręcać	dokręcić
dokręcać	dokręcić
przykręcać	przykręcić
dokręcać	dokręcić
kosztować	zakosztować
podwyższać się	podwyższyć się
urabiać	urobić
obcinać	obciąć
okraszać	okrasić
okraszać	okrasić
przesycać	przesycić
dostrajać	dostroić
dostrajać	dostroić
dostrajać	dostroić
przesycać	przesycić
przekarmiać	przekarmić
nastrajać	nastroić
przepajać	przepoić
przesycać	przesycić
przesycać	przesycić
dostrajać	dostroić
przesładzać	przesłodzić
przecukrzać	przecukrzyć
podłączać się	podłączyć się
podłączać się	podłączyć się
przemywać	przemyć
przemywać	przemyć
przepłukiwać	przepłukać
przesalać	przesolić
przestrajać	przestroić
przesalać	przesolić
przestrajać	przestroić
przestrajać	przestroić
przeholowywać	przeholować
przełączać	przełączyć
przesładzać	przesłodzić
przełączać	przełączyć
przełączać	przełączyć
przestraszać	przestraszyć
wylizywać	wylizać
nastawiać się	nastawić się
nastrajać się	nastroić się
nastawiać się	nastawić się
ogrywać	ograć
oporządzać	oporządzić
siodłać	osiodłać
podkuwać	podkuć
podkuwać	podkuć
kulbaczyć	okulbaczyć
przykręcać	przykręcić
skręcać	skręcić
wkręcać	wkręcić
wkręcać	wkręcić
odbezpieczać	odbezpieczyć
zabezpieczać	zabezpieczyć
odbezpieczać	odbezpieczyć
przeładowywać	przeładować
formatować	sformatować
formatować	sformatować
staczać	stoczyć
staczać	stoczyć
staczać	stoczyć
staczać się	stoczyć się
dopilnowywać	dopilnować
uzwajać	uzwoić
oborywać	oborać
przebudowywać	przebudować
przebudowywać się	przebudować się
przebudowywać się	przebudować się
reorganizować się	zreorganizować się
opiekać się	opiec się
przebudowywać się	przebudować się
ułagadzać	ułagodzić
ugłaskiwać	ugłaskać
ujeżdżać	ujeździć
wyprzęgać	wyprzęgnąć
wyprzęgać	wyprząc
naświetlać	naświetlić
odwzorowywać	odwzorować
odwzorowywać	odwzorować
odtwarzać	odtworzyć
przewijać się	przewinąć się
rozpracowywać	rozpracować
rozdrażniać	rozdrażnić
zaogniać	zaognić
rozogniać	rozognić
rozjątrzać	rozjątrzyć
ścierać się	zetrzeć się
rozdrapywać	rozdrapać
rozdrażniać	rozdrażnić
zrażać	zrazić
rozjątrzać	rozjątrzyć
uwidoczniać	uwidocznić
uskrzydlać	uskrzydlić
uskrzydlać	uskrzydlić
składać się	złożyć się
naznaczać	naznaczyć
harmonizować	zharmonizować
tonować	stonować
tonować	stonować
tresować	wytresować
tresować	wytresować
wścibiać	wścibić
wściubiać	wściubić
mrozić	zmrozić
mrozić	zmrozić
mrozić	zmrozić
obarczać	obarczyć
objuczać	objuczyć
obładowywać	obładować
obciążać	obciążyć
obarczać	obarczyć
murszeć	zmurszeć
naznaczać	naznaczyć
piętnować	napiętnować
piętnować	napiętnować
nadziewać	nadziać
nakłuwać	nakłuć
obdzielić	obdzielać
pogardzać	pogardzić
pokrzepiać	pokrzepić
posilać	posilić
pożywiać	pożywić
unaoczniać się	unaocznić się
unaoczniać	unaocznić
uobecniać	uobecnić
raczyć	uraczyć
raczyć	uraczyć
fetować się	ufetować się
nakręcać	nakręcić
nakręcać	nakręcić
nakręcać	nakręcić
nakręcać	nakręcić
napędzać	napędzić
zabezpieczać się	zabezpieczyć się
rewidować	zrewidować
rewidować	zrewidować
werbować	zwerbować
odważać	odważyć
uzbrajać się	uzbroić się
uzbrajać się	uzbroić się
przeorientowywać	przeorientować
podłączać	podłączyć
przysypywać	przysypać
wkłuwać	wkłuć
rozgarniać	rozgarnąć
rozgrzebywać	rozgrzebać
wkłuwać się	wkłuć się
rozkopywać	rozkopać
usypywać	usypać
skraplać	skroplić
wysypywać	wysypać
odkładać się	odłożyć się
podgrzewać się	podgrzać się
skrzepiać	skrzepić
wtryskiwać	wtrysnąć
wyczerpywać się	wyczerpać się
wyczerpywać się	wyczerpać się
wytwarzać się	wytworzyć się
utrwalać się	utrwalić się
przebranżawiać się	przebranżowić się
przekształcać się	przekształcić się
ułamywać	ułamać
rehabilitować się	zrehabilitować się
wyobcowywać się	wyobcować się
odbywać stosunek płciowy	odbyć stosunek płciowy
podłączać	podłączyć
podłączać	podłączyć
wstawać	wstać
wstawać	wstać
wstawać	wstać
wstawać	wstać
przestawiać	przestawić
wykręcać	wykręcić
rozkręcać	rozkręcić
rozkręcać	rozkręcić
zdrapać	zdrapywać
rozkręcać	rozkręcić
rozkręcać	rozkręcić
testować	przetestować
zapisywać	zapisać
wyregulowywać	wyregulować
wyregulowywać	wyregulować
wyregulowywać	wyregulować
mobilizować	zmobilizować
przyoblekać	przyoblec
uwsteczniać się	uwstecznić się
zmiękczać się	zmiękczyć się
ogołacać	ogołocić
ogałacać	ogołocić
przepłakiwać	przepłakać
przepłakiwać	przepłakać
skręcać się	skręcić się
rozpychać	rozepchnąć
rozpychać	rozepchać
rozpychać się	rozepchać się
rozpychać się	rozepchnąć się
rozpychać się	rozepchnąć się
rozpychać się	rozepchać się
przyłazić	przyleźć
dokupować	dokupić
dokupywać	dokupić
domywać	domyć
dolewać	dolać
dolewać	dolać
dosypywać	dosypać
wydelikacać	wydelikacić
odsypywać	odsypać
nadbierać	nadebrać
wygalać	wygolić
wygalać się	wygolić się
nadpływać	nadpłynąć
nadpływać	nadpłynąć
odpływać	odpłynąć
odpływać	odpłynąć
odpływać	odpłynąć
odpływać	odpłynąć
kołtunić się	skołtunić się
kudłacić się	skudłacić się
kołtunieć	skołtunieć
kołtunieć	skołtunieć
przenosić się	przenieść się
oddalać się	oddalić się
podpływać	podpłynąć
rozprzestrzeniać się	rozprzestrzenić się
przepływać	przepłynąć
przeciągać się	przeciągnąć się
przypływać	przypłynąć
przypływać	przypłynąć
rozkręcać się	rozkręcić się
rozkręcać się	rozkręcić się
rozpędzać	rozpędzić
rozpędzać	rozpędzić
domalowywać	domalować
domalowywać	domalować
dorysowywać	dorysować
dorysowywać	dorysować
podkręcać	podkręcić
podkręcać	podkręcić
nadkładać	nadłożyć
przycinać	przyciąć
ociągać	ociągnąć
ucinać	uciąć
przystrzygać	przystrzyc
podstrzygać	podstrzyc
podstrzygać	podstrzyc
przystrzygać	przystrzyc
zlepiać	zlepić
przetłuszczać się	przetłuścić się
przetłuszczać się	przetłuścić się
przyprószać	przyprószyć
upinać	upiąć
brylantować	wybrylantować
pomadować	wypomadować
zaczesywać	zaczesać
obrzucać	obrzucić
wmuszać	wmusić
wmuszać	wmusić
wtykać	wetknąć
wyrabiać	wyrobić
wyrabiać	wyrobić
wypływać	wypłynąć
zajeżdżać	zajechać
wypływać	wypłynąć
wypływać	wypłynąć
ginąć	zginąć
ginąć	zginąć
ginąć	zaginąć
znikać	zniknąć
turczyć	sturczyć
rusyfikować	zrusyfikować
ukrainizować	zukrainizować
polonizować	spolonizować
amerykanizować	zamerykanizować
zjeżdżać	zjechać
zjeżdżać	zjechać
zjeżdżać	zjechać
romanizować	zromanizować
zjeżdżać	zjechać
polonizować	spolonizować
przyjeżdżać	przyjechać
przyjeżdżać	przyjechać
judaizować	zjudaizować
latynizować	zlatynizować
madziaryzować	zmadziaryzować
slawizować	zeslawizować
odbijać	odbić
odbijać	odbić
odbijać	odbić
odbijać	odbić
odbijać	odbić
odbijać	odbić
odbijać	odbić
odbijać	odbić
oswajać	oswoić
przesiadać się	przesiąść się
zganiać	zegnać
zganiać	zgonić
spędzać	spędzić
przepędzać	przepędzić
przeganiać	przegonić
nadrukowywać	nadrukować
odrysowywać	odrysować
skracać się	skrócić się
skracać się	skrócić się
przysiadać	przysiąść
przysiadywać	przysiadać
spędzać	spędzić
zapędzać	zapędzić
zaganiać	zagonić
przysiadywać	przysiąść
przysiadać	przysiąść
przysiadywać	przysiąść
upływać	upłynąć
wydrapywać	wydrapać
wydrapywać	wydrapać
przekartkowywać	przekartkować
przewijać	przewinąć
zganiać	zgonić
zganiać	zegnać
przewijać	przewinąć
przewijać	przewinąć
sadzać	posadzić
urządzać się	urządzić się
wystukiwać	wystukać
włamywać się	włamać się
ugrupowywać się	ugrupować się
włamywać się	włamać się
wplatać się	wpleść się
rozplątywać się	rozplątać się
odplątywać się	odplątać się
odplątywać się	rozplątać się
korelować	skorelować
zestrajać	zestroić
upoważniać	upoważnić
uprawniać	uprawnić
upełnomocniać	upełnomocnić
zestrajać	zestroić
dawać w łapę	dać w łapę
przemawiać do ręki	przemówić do ręki
przemawiać do kieszeni	przemówić do kieszeni
umawiać	umówić
indoktrynować	zindoktrynować
udzielać akredytacji	udzielić akredytacji
oprotestowywać	oprotestować
ubezwłasnowolniać	ubezwłasnowolnić
motywować	zmotywować
okopywać	okopać
wyplewiać	wyplewić
podlewać	podlać
podlewać	podlać
komplikować się	pokomplikować się
wikłać się	zawikłać się
wikłać się	powikłać się
uzbrajać	uzbroić
gmatwać się	zagmatwać się
plątać się	poplątać się
odbijać	odbić
prowadzić	zaprowadzić
prowadzić	doprowadzić
wieść	przywieść
amerykanizować	zamerykanizować
romanizować	zromanizować
judaizować	zjudaizować
latynizować	zlatynizować
slawizować	zeslawizować
anglizować	zanglizować
angielszczyć	zangielszczyć
sprowadzać	sprowadzić
sprowadzać	sprowadzić
sprowadzać	sprowadzić
sprowadzać	sprowadzić
toczyć	utoczyć
zaostrzać się	zaostrzyć się
zaostrzać się	zaostrzyć się
wyostrzyć się	wyostrzać się
łagodzić się	wyłagodzić się
łagodzić się	złagodzić się
zaostrzać się	zaostrzyć się
zaostrzać się	zaostrzyć się
resocjalizować	zresocjalizować
polepszać się	polepszyć się
usprawniać się	usprawnić się
zaostrzać się	zaostrzyć się
wyostrzać się	wyostrzyć się
chrystianizować	schrystianizować
wkraczać	wkroczyć
wkraczać	wkroczyć
odsupływać się	odsupłać się
zapowietrzać się	zapowietrzyć się
charakteryzować	scharakteryzować
odtwarzać	odtworzyć
rekonstruować	zrekonstruować
oblegać	oblec
nakreślać	nakreślić
oblegać	oblec
ewoluować	wyewoluować
odkrywać się	odkryć się
rozkrywać się	rozkryć się
rozkopywać się	rozkopać się
stygnąć	wystygnąć
przepisywać się	przepisać się
odwieszać	odwiesić
chłodnąć	ochłodnąć
ochładzać się	ochłodzić się
przeziębiać się	przeziębić się
ogradzać się	ogrodzić się
przechładzać się	przechłodzić się
przechładzać się	przechłodzić się
rozkorzeniać się	rozkorzenić się
przeziębiać	przeziębić
zakorzeniać się	zakorzenić się
rozkorzeniać się	rozkorzenić się
zakorzeniać się	zakorzenić się
kamienieć	skamienieć
kamienieć	skamienieć
obojętnieć	zobojętnieć
kamienieć	skamienieć
kamienieć	skamienieć
zanęcać	zanęcić
nęcić	zanęcić
zwabiać	zwabić
otępiać	otępić
uzbrajać	uzbroić
mruczeć	zamruczeć
afrykanizować	zafrykanizować
arabizować	zarabizować
arabizować	zarabizować
dusić	zdusić
dusić	zdusić
dusić	zdusić
dłubać	wydłubać
wygryzać	wygryźć
zaklejać	zakleić
zaklejać	zakleić
zalepiać	zalepić
zalepić	zalepiać
wkraczać	wkroczyć
wstępować	wstąpić
wstępować	wstąpić
wstępować	wstąpić
przystępować	przystąpić
wdzierać się	wedrzeć się
wdzierać się	wedrzeć się
wdzierać się	wedrzeć się
wdzierać się	wedrzeć się
wdzierać się	wedrzeć się
wdzierać się	wedrzeć się
cienko śpiewać	cienko zaśpiewać
kłaść uszy po sobie	położyć uszy po sobie
zachodzić	zajść
zachodzić	zajść
wschodzić	wzejść
wzrastać	wzrosnąć
wzrastać	wzrosnąć
wyrastać	wyrosnąć
wyrastać	wyrosnąć
wyrastać	wyrosnąć
wyrastać	wyrosnąć
rozszczepiać się	rozszczepić się
wstrzykiwać	wstrzyknąć
utulać	utulić
utulać	utulić
uwiadamiać	uwiadomić
utulać się	utulić się
wyręczać	wyręczyć
odciążać	odciążyć
przekopywać się	przekopać się
przekopywać się	przekopać się
wdrażać się	wdrożyć się
wkopywać	wkopać
wkopywać	wkopać
wkopywać	wkopać
wkopywać się	wkopać się
wkopywać się	wkopać się
oblatywać	oblatać
wykuwać się	wykuć się
wynosić na tron	wynieść na tron
powoływać na tron	powołać na tron
wprowadzać na tron	wprowadzić na tron
osadzać na tronie	osadzić  na tronie
umieszczać na tronie	umieścić na tronie
rozniecać się	rozniecić się
wyświęcać	wyświęcić
brać	wziąć
zrażać się	zrazić się
utwierdzać się	utwierdzić się
utwierdzać się	utwierdzić się
zażywać	zażyć
podbarwiać	podbarwić
zrastać się	zrosnąć się
zrastać się	zrosnąć się
przytłumiać	przytłumić
przytłumiać	przytłumić
wybarwiać	wybarwić
zamącać	zamącić
odtransportowywać	odtransportować
odwozić	odwieźć
spławiać	spławić
spławiać	spławić
studzić się	ostudzić się
ostygać	ostygnąć
nabiegać	nabiec
nabiegać	nabiegnąć
wyjednywać	wyjednać
obłazić	obleźć
brzydnąć	zbrzydnąć
brzydnąć	obrzydnąć
obmierzać	obmierznąć
obłazić	obleźć
wycierać się	wytrzeć się
obstalowywać	obstalować
odmieniać się	odmienić się
schodzić	zejść
złazić	zleźć
obłazić	obleźć
złuszczać się	złuszczyć się
przedzierzgać się	przedzierzgnąć się
przeobrażać się	przeobrazić się
wykluwać się	wykluć się
wylęgać się	wylęgnąć się
wylęgać się	wyląc się
ulęgać się	ulęgnąć się
rodzić się	narodzić się
rodzić się	urodzić się
przychodzić na świat	przyjść na świat
przemaczać się	przemoczyć się
wzuwać	wzuć
gubić się	zagubić się
gubić się	zgubić się
znieczulać się	znieczulić się
zzuwać	zzuć
nabijać się	nabić się
ucieleśniać	ucieleśnić
zaszeregowywać	zaszeregować
szeregować	uszeregować
ściemniać się	ściemnić się
rozkładać	rozłożyć
przetrawiać	przetrawić
trawić	strawić
unicestwiać	pochłaniać
rozkwilać się	rozkwilić się
rozdymać się	rozdąć się
rozkwilać się	rozkwilić się
przetrawiać	przetrawić
trawić	wytrawić
wydzwaniać	wydzwonić
wypychać się	wypchnąć się
wypychać się	wypchać się
dozbrajać	dozbroić
dozbrajać	dozbroić
wypróżniać	wypróżnić
opróżniać	opróżnić
przeformowywać	przeformować
przemianowywać	przemianować
płowieć	wypłowieć
płowieć	spłowieć
rozformowywać	rozformować
rozformowywać	rozformować
zabarwiać się	zabarwić się
formować	sformować
formować	sformować
ugrupowywać	ugrupować
matowieć	zmatowieć
matowieć	zmatowieć
mięknąć	zmięknąć
ciąć	przeciąć
ucinać	uciąć
podpasać	podpaść
podtuczać	podtuczyć
reflektować	zreflektować
rozżerać się	rozeżreć się
transkrybować	przetranskrybować
zapylać	zapylić
rozpylać	rozpylić
wypompowywać	wypompować
zasysać	zassać
opędzać się	opędzić się
odpędzać	odpędzić
odmaszerowywać	odmaszerować
odmaszerowywać	odmaszerować
wlepiać	wlepić
wżerać się	weżreć się
wżerać się	weżreć się
wżerać się	weżreć się
wsączać	wsączyć
wsączać się	wsączyć się
eksterminować	eksterminować
komunizować	skomunizować
nabawiać	nabawić
zacinać	zaciąć
zacinać	zaciąć
zacinać	zaciąć
zacinać	zaciąć
przecinać	przeciąć
przecinać	przeciąć
przecinać	przeciąć
unasienniać	unasiennić
nadcinać	nadciąć
odcinać	odciąć
odcinać	odciąć
odcinać	odciąć
obcinać	obciąć
ciąć	obciąć
obstrzygać	obstrzyc
opitalać	opitolić
opitalać	opitolić
opitalać	opitolić
ścinać	ściąć
ścinać	ściąć
gasić	zgasić
gasić	zgasić
gasić	zgasić
zagnieżdżać się	zagnieździć się
zalęgać się	zaląc się
zalęgać się	zalęgnąć się
zagaszać	zagasić
zagaszać	zagasić
zagaszać	zagasić
zagaszać	zagasić
zakładać gniazdo	założyć gniazdo
zakładać legowisko	założyć legowisko
zagaszać	zagasić
dopisywać się	dopisać się
przyłączać się	przyłączyć się
przyłączać się	przyłączyć się
dobijać	dobić
rozsądzać	rozsądzić
doszlusowywać	doszlusować
dodrukowywać	dodrukować
dodrukowywać	dodrukować
przypływać	przypłynąć
dochodzić	dojść
dochodzić	dojść
dochodzić	dojść
dochodzić	dojść
dochodzić	dojść
doczłapywać	doczłapać
dochodzić	dojść
dosięgać	dosięgnąć
rozpraszać	rozproszyć
dekoncentrować	zdekoncentrować
dekoncentrować się	zdekoncentrować się
rozpraszać się	rozproszyć się
bieleć	pobieleć
wynajdować	wynaleźć
wynajdywać	wynaleźć
wytargowywać	wytargować
obstawiać się	obstawić się
obstawiać się	obstawić się
kłębić się	skłębiać się
skłębiać się	skłębić się
obstawiać się	obstawić się
osadzać się	osadzić się
osadzać się	osadzić się
osadzać	osadzić
upajać	upoić
iść	pójść
iść	pójść
iść	pójść
rozstrajać	rozstroić
rozstrajać się	rozstroić się
rozstrajać się	rozstroić się
rozstrajać	rozstroić
ogłuszać	ogłuszyć
ogłuszać	ogłuszyć
wstrzymywać się	wstrzymać się
odczekiwać	odczekać
chwytać się	chwycić się
łapać się	złapać się
czepiać się	czepić się
uwieszać się	uwiesić się
łapać się	złapać się
przyłapywać się	przyłapać się
przyuczać	przyuczyć
odnotowywać	odnotować
wytaczać	wytoczyć
wytaczać	wytoczyć
wytaczać	wytoczyć
wytaczać	wytoczyć
wytaczać	wytoczyć
wytaczać	wytoczyć
notować	zanotować
odnotowywać	odnotować
paraliżować	sparaliżować
spisywać	spisać
prząść	uprząść
przepisywać	przepisać
przebierać się	przebrać się
stawiać się	stawić się
przymierzać	przymierzyć
ukuwać	ukuć
wyważać	wyważyć
wyważać	wyważyć
ukuwać	ukuć
doprecyzowywać	doprecyzować
systematyzować	usystematyzować
obgryzać	obgryźć
ogryzać	ogryźć
uszczegóławiać	uszczegółowić
odgryzać	odgryźć
obskrobywać	obskrobać
sięgać	sięgnąć
sięgać	sięgnąć
sięgać	sięgnąć
sięgać	sięgnąć
wykreślać	wykreślić
wykreślać	wykreślić
wsadzać	wsadzić
wypisywać	wypisać
zapisywać	zapisać
zapisywać	zapisać
zapisywać	zapisać
zapisywać	zapisać
wyciągać rękę	wyciągnąć rękę
wyciągać rękę	wyciągnąć rękę
wyciągać rękę	wyciągnąć rękę
wyciągać rękę	wyciągnąć rękę
wyciągać dłoń	wyciągnąć dłoń
wyciągać dłoń	wyciągnąć dłoń
wyciągać pomocną dłoń	wyciągnąć pomocną dłoń
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
brać	wziąć
podpuszczać	podpuścić
podpuszczać	podpuścić
prowokować	sprowokować
podłamywać się	podłamać się
rozgorączkowywać się	rozgorączkować się
wyzłośliwiać się	wyzłośliwić się
feminizować	sfeminizować
feminizować	sfeminizować
feminizować się	sfeminizować się
odganiać	odgonić
rozwibrowywać się	rozwibrować się
rozwibrowywać się	rozwibrować się
zażegnywać	zażegnać
podsmażać się	podsmażyć się
odgradzać się	odgrodzić się
pobierać	pobrać
alarmować	zaalarmować
alarmować	zaalarmować
przysłaniać	przysłonić
zarastać	zarosnąć
dorastać	dorosnąć
dojrzewać	dojrzeć
powoływać się	powołać się
zarastać	zarosnąć
zarastać	zarosnąć
zarastać	zarosnąć
odkomenderowywać	odkomenderować
szykować	naszykować
szykować	uszykować
zakwaterowywać	zakwaterować
motoryzować	zmotoryzować
opancerzać	opancerzyć
wpędzać	wpędzić
wganiać	wgonić
pouczać	pouczyć
odsługiwać	odsłużyć
odsługiwać	odsłużyć
zwoływać	zwołać
odzwyczajać	odzwyczaić
rozkapryszać się	rozkaprysić się
przymarszczać	przymarszczyć
wdawać	wdać
wkupywać się	wkupić się
wywłaszczać	wywłaszczyć
wyślizgiwać się	wyślizgać się
wygładzać się	wygładzić się
wyślizgiwać	wyślizgać
odkrawać	odkroić
rozgaszczać się	rozgościć się
usidlać	usidlić
przekrzywiać	przekrzywić
ponosić	ponieść
utwardzać się	utwardzić się
urabiać się	urobić się
urabiać się	urobić się
wykładać się	wyłożyć się
nakłuwać się	nakłuć się
nadziewać się	nadziać się
wbijać się	wbić się
wgłębiać się	wgłębić się
