zezwalać|zgadzać się|pozwalać|akceptować|godzić się|przystawać|przyzwalać|wyrażać zgodę	odwieszać
skrapiać|kropić|nakrapiać|skraplać|wypsikiwać	pryskać|opryskiwać|spryskiwać
skropić|nakropić|skroplić|wypsikać	opryskać|spryskać
spiskować|konspirować	zmówić się|namówić się
spiskować|konspirować	zmawiać się|namawiać się
spiskować|konspirować	sprzysiąc się|sprzysięgnąć się
spiskować|konspirować	sprzysięgać się
krzyczeć|wykrzykiwać	wykrzykiwać
krzyczeć|wykrzykiwać	pokrzyczeć|powrzeszczeć|podrzeć się|powydzierać się
krzyczeć|wykrzykiwać	przekrzykiwać
krzyczeć|wykrzykiwać	skrzyczeć
krzyczeć|wykrzykiwać	rozkrzyczeć
krzyczeć|wykrzykiwać	odkrzykiwać|odwrzaskiwać
krzyczeć|wykrzykiwać	zakrzykiwać
krzyczeć|wykrzykiwać	przekrzyczeć
krzyczeć|wykrzykiwać	wykrzyczeć
szarpnąć	oberwać
szarpać	obrywać
ciągnąć|zaciągać|ciągać	zaciągać
ciągnąć|zaciągać|ciągać	dociągnąć
ciągnąć|zaciągać|ciągać	dociągać
ciągnąć|zaciągać|ciągać	przyciągnąć
ciągnąć|zaciągać|ciągać	przyciągać
ciągnąć|zaciągać|ciągać	podciągnąć
ciągnąć|zaciągać|ciągać	podciągać
ciągnąć|zaciągać|ciągać	podciągnąć
ciągnąć|zaciągać|ciągać	podciągać
ciągnąć|zaciągać|ciągać	przeciągać
ciągnąć|zaciągać|ciągać	przeciągać
ciągnąć|zaciągać|ciągać	przeciągnąć
ciągnąć|zaciągać|ciągać	przewlekać
ciągnąć|zaciągać|ciągać	przeciągnąć
ciągnąć|zaciągać|ciągać	zaciągnąć
ciągnąć|pociągać|ciągać	zerwać
ciągnąć|pociągać|ciągać	pościągać|pozdejmować
ciągnąć|pociągać|ciągać	urywać|odrywać
ciągnąć|pociągać|ciągać	urwać|oderwać
ciągnąć|pociągać|ciągać	oddzierać
ciągnąć|pociągać|ciągać	odedrzeć
namaszczać	uświęcać|sakralizować
ciągnąć	ściągać
namaścić	uświęcić
ciągnąć	przeciągać
ciągnąć	przeciągnąć
ciągnąć	przeciągnąć
pociągać	powlec|zaciągnąć
pociągać	powlekać|zaciągać
pociągnąć	zaciągać
pociągnąć	zaciągać
pociągnąć	zaciągnąć
pociągnąć	zaciągnąć
szarpać|drzeć|szamotać|tarmosić	wyszarpać|wyszarpnąć
szarpać|drzeć|szamotać|tarmosić	wyszarpywać
szarpać|drzeć|szamotać|tarmosić	poszarpać|potarmosić
smołować	nasmołować się
opowiedzieć	podbarwić
mnożyć|przemnażać	namnożyć się
przyszyć	naszyć
zbierać	uprawiać|kultywować
uzupełniać|dopełniać	dokształcać|douczać
zszywać|zeszywać	pozszywać|pozeszywać
studiować|zgłębiać	wczytywać się
studiować|zgłębiać	wczytać się
utykać|więznąć|grzęznąć	włazić
rozdzielać|dzielić	rozprowadzać
rozdzielić|podzielić	rozprowadzić
rozdzielać|przedzielać	przekładać
przedzielić	przedzielić|rozdzielić
gracować	uprawiać|kultywować
dreptać|drobić|tuptać	podreptać
dreptać|drobić|tuptać	podreptać
pełzać|pełznąć	przypełznąć
pełzać|pełznąć	przypełzać
pełzać|pełznąć	przepełznąć
pełzać|pełznąć	rozpełznąć się
pełzać|pełznąć	rozpełzać się
pełzać|pełznąć	spełznąć
pełzać|pełznąć	spełzać
świstać|świszczeć	świstać
być	obejrzeć|widzieć|zobaczyć|oglądnąć
być	oglądać
pozostać	poleżeć
pozostawać	repetować|zimować
giąć|wyginać|zginać	pogiąć|pozginać
giąć|wyginać|zginać	kuć
brać do buzi	obciągać|obciągać chuja|obciągać druta|obciągać fiuta|obciągać loda|robić gałę|robić laskę|robić loda|trzaskać algidę|strzelać laskę|lizać pałę|palić cygaro z wąsem
wziąć do buzi	obciągnąć|obciągnąć chuja|obciągnąć druta|obciągnąć fiuta|obciągnąć loda|zrobić gałę|zrobić laskę|zrobić loda|trzasnąć algidę|strzelić loda
łowić	nasłuchiwać|przysłuchiwać się|wsłuchiwać się|łowić uchem|nadsłuchiwać
widzieć	widzieć
widzieć	śnić
widzieć|postrzegać	patrzeć|patrzyć|patrzeć się|patrzyć się
dbać|troszczyć się|pamiętać|interesować się|myśleć	chuchać i dmuchać
przybliżać	zsunąć
przybliżać	zsuwać
przybliżać	podawać|dawać
ciąć|ucinać|kąsać	pociąć
kupować	wkupić się
kupować	wkupywać się
odpalać	rozdzielać|dzielić
odpalić	rozdzielić|podzielić
detonować	wysadzać
zdetonować	wysadzić
spawać	przyspawać
pienić się|spieniać się	kipieć
pakować	przepakować
pakować|opakowywać	przepakować
tykać|cykać	funkcjonować|działać|chodzić|być na chodzie|iść|pracować
grzmocić|praskać|walić|majdać|majtać|smyrgać|kropić|trzepać	dowalić
grzmocić|praskać|walić|majdać|majtać|smyrgać|kropić|trzepać	dowalać
rzucić	porzucić
rzucać	porzucać
strugać|ostrugiwać	wystrugać
strugać|ostrugiwać	strugać|wystrugiwać
atakować	polować
zaatakować	upolować
rozpuszczać	wyługować
rozpuszczać	ługować|wyługowywać
macać	pomacać
macać	namacać|wymacać
współżyć|spółkować|kopulować|mieć seks|odbywać stosunek płciowy	gwałcić
atakować	wchodzić|wdzierać się
siedzieć|siedzieć za kratkami	posiedzieć
ładować|naładowywać|załadowywać|władowywać	doładowywać
ładować|naładowywać|załadowywać|władowywać	doładowywać
kląć|przeklinać	skląć
paplać|trajkotać|trajlować|pytlować|bajtlować	rozpaplać
paplać|trajkotać|trajlować|pytlować|bajtlować	przepaplać
skubać|poskubywać|szczypać|smykać	obgryźć|ogryźć
skubać|poskubywać|szczypać|smykać	obgryzać|ogryzać
doszywać	sztukować
wprowadzić	przewietrzyć|odświeżyć
wprowadzać	przewietrzać|odświeżać
wpisać	wypełnić
wpisać	wpisać się
wpisywać	wypełniać
wpisywać	wpisywać się
poczuć|odczuć|uczuć	osłupieć
odrzucać	przebierać
opisywać	odtwarzać|rekonstruować
opisywać	odtworzyć|zrekonstruować
utrzymywać|trzymać	potrzymać
utrzymywać	zapewnić|upewnić
podtrzymywać	obstawać|trwać|pozostawać przy swoim
zawiązać|związać	zawiązać
wnieść	zaapelować|wnieść apelację|złożyć apelację
wnosić	apelować|wnosić apelację|składać apelację
blokować	grać
zablokować	grać
zacinać się|jąkać się|zająkiwać się|stękać	wyjąkać
wydmuchiwać	smarknąć
łączyć	telefonować|dzwonić|przedzwaniać
włączać	nastawiać|stawiać
włączyć	nastawić|postawić
włączyć	zaświecić|zapalić
odkręcić	odkręcić kurek
odkręcić	odkręcić
odkręcać	wykręcić
odkręcać	wykręcać
odkręcać	odkręcać kurek
odkręcać	odkręcać
związać	grać w szachy
zaszachować|dać szacha	grać w szachy
zamatować|dać mata	grać w szachy
matować	grać w szachy
szachować	grać w szachy
ruszać się|robić ruch	grać
eliminować	przesiać
eliminować	przesiewać
wyeliminować	przesiać
zakręcić	zakręcić
zakręcać	przykręcać|skręcać
zakręcać	przykręcić|skręcić
zakręcać	zakręcać
skręcać|zakręcać|wykręcać	odbijać|oddalać się
skręcać	uprząść|usnuć
skręcać	snuć|prząść
skręcić|zakręcić|wykręcić	odbić
czytać|odczytywać	wczytywać
używać|korzystać|posługiwać się|wykorzystywać|stosować	naużywać się
używać|korzystać|posługiwać się|wykorzystywać|stosować	zużywać
używać|korzystać|posługiwać się|wykorzystywać|stosować	zniszczyć
czekać	skomunikować się
czekać	naczekać się|wyczekać się
czekać	poczekać
czekać	przeczekiwać
czekać	przeczekać
czekać	przeczekiwać
czekać	przeczekać
obejmować	wdzierać się
obejmować	wedrzeć się|wtargnąć
związać	obwiązać|owiązać
wiązać|związywać	obwiązywać|owiązywać
związywać	grać w szachy
zawiązać	zawiązać|związać
zawiązać	zawiązać
zawiązać	zawiązać|związać
zawiązać	przywiązać
zawiązać	podwiązać
zawiązywać|związywać|wiązać	zawiązywać
zawiązywać	zawiązywać
zawiązywać	zawiązywać|związywać|wiązać
zawiązywać	wiązać|związywać|zawiązywać
zawiązywać	przywiązywać
zawiązywać	podwiązywać
werbalizować|ubierać w słowa	pisać
werbalizować|ubierać w słowa	mówić
zwerbalizować|wyrzec|ubrać w słowa	napisać
zwerbalizować|wyrzec|ubrać w słowa	powiedzieć|rzec
przylatywać	zlatywać się
przylecieć	zlecieć się
przetykać	tkać
roszować|wykonywać roszadę|robić roszadę	grać w szachy
bić|zbijać|zabijać	grać|grać w karty
patować	grać w szachy
poddawać partię	grać w szachy
poddać partię	grać w szachy
przemienić się	grać w szachy
przepchnąć|przepchać	przetkać|przepchnąć|przepchać
przepychać	przetykać|przepychać
przeciągać|przewlekać	zaciągać
przeciągać	przetykać|przepychać
wyodrębniać się|odcinać się|wydzielać się	pączkować
utknąć	wleźć
grzęznąć|tonąć	brnąć
odłożyć	wstrzymać się|odczekać
odkładać	odżywiać się|żywić się|karmić się
odkładać	uprawiać|kultywować
dowiadywać się	podsłuchiwać
dowiadywać się	stwierdzać|konstatować
przenieść	przesadzić
oddalić	podzielić|rozdzielić
służyć	wysłużyć|wysłużyć się
przybliżyć	podać|dać
słuchać	zasłuchać się
słuchać	odsłuchać
słuchać	słuchać
słuchać	wysłuchać
słuchać	nasłuchiwać|przysłuchiwać się|wsłuchiwać się|łowić uchem|nadsłuchiwać
słuchać	posłuchać
słuchać	nasłuchać się
słuchać	rozmawiać|dialogować|mówić
kłaść	poszywać
poczekać	przyczaić się|przywarować
żyć	przeżywać
żyć	przeżyć|pożyć
traktować|poddawać	doświadczać|poddawać próbie|wypróbowywać
wracać	cofać się
chrobotać	skrobać
ciosać|ociosywać|obciosywać	wyciosać
ciosać|ociosywać|obciosywać	wyciosywać
haftować	cyfrować
szyć	doszywać
gotować|kucharzyć|pitrasić|pichcić|warzyć	nagotować się
gotować|kucharzyć|pitrasić|pichcić|warzyć	rozgotować
gotować|kucharzyć|pitrasić|pichcić|warzyć	rozgotowywać
gotować|kucharzyć|pitrasić|pichcić|warzyć	wygotowywać
uderzyć	poczuć
uderzyć	odbić się
trzasnąć	trzasnąć|walnąć|huknąć|grzmotnąć|rąbnąć
trzaskać	trzaskać|walić|hukać|grzmocić|rąbać
ściąć	zmrozić
ścinać	mrozić
odbić	przelobować
walić|rąbać|rypać|ciąć	dowalać
walić|rąbać|rypać|ciąć	wygarniać
manić	polować
wypowiedzieć się|udzielić wypowiedzi|wyrazić się|wyszczególnić się	zaprezentować
wypowiadać|mówić	przepowiadać
krzątać się	pokręcić się|pokrzątać się
wiosłować	powiosłować
wiosłować	powiosłować
przemówić	wystąpić
obcykać się|obeznać się|otrzaskać się	wprawić się
saletrować	peklować
zwracać się|obracać się|kierować się|skierowywać się	oglądać się
zmarnotrawić|zmarnować|stracić	puścić
tapirować	czesać
natapirować	uczesać
umawiać się|uzgadniać|umawiać|zmawiać się	zawierać
walczyć	wywalczyć
zmagać się|siłować się|mocować się	pomocować się
nosić|chodzić	przenosić
nosić|chodzić	donaszać
nosić|chodzić	donosić
nosić|chodzić	pochodzić|ponosić
nosić|chodzić	znosić
preliminować	preliminować
ufać|wierzyć	liczyć
gestykulować	pokazać
gestykulować	pokazywać
wybierać	wybrać
wybierać	wybierać
wybierać	wyiskać
wybierać	iskać
wybierać numer	telefonować|dzwonić|przedzwaniać
trzepać	roztrzepać
trzepać	roztrzepywać
przedstawiać	obgadywać|obrabiać|obmawiać|oczerniać|obsmarowywać|szkalować
demonstrować|prezentować	zapoznawać|zaznajamiać
snuć|wysnuwać|prząść	osnuć
snuć|wysnuwać|prząść	osnuwać
otwierać	operować
ośmielać	prosić
napierać|przeć	rozeprzeć
przeć	rodzić
rozregulowywać się|rozstrajać się	śpieszyć się|spieszyć się
rozregulowywać się|rozstrajać się	spóźniać się|późnić się|opóźniać się
walczyć	powalczyć
rzęzić	rzęzić
przywoływać	grać|grać w karty
przebijać	przelicytowywać
przebić	przelicytować
śnić	wyśnić
śnić	spać
wiercić|borować|wywiercać	przewiercić
wiercić|borować|wywiercać	przewiercać
wiercić|borować|wywiercać	wwiercić się
wiercić|borować|wywiercać	wwiercać się
świdrować	prześwidrować
świdrować	prześwidrowywać
przemawiać	występować
otworzyć	operować
chodzić	wydeptać|wychodzić|wylatać
chodzić	pochodzić
zaznaczyć	zastrzegać|zastrzegać się
zaznaczyć	zastrzec|zastrzec się
plombować	leczyć|kurować|uleczać
sypać	podsypywać
sypać	podsypać
usypywać	okopać
usypywać	okopywać
podważyć	wyłupać
przygotować	przekwalifikować
wpisywać się|zapisywać się	przepisywać się
wpisać się|zapisać się	przepisać się
wyczerpywać	omawiać|mieć na tapecie
ćwierkać|szczebiotać|świergotać	rozszczebiotać
siedzieć	posiedzieć
akcentować	wymawiać|artykułować|wypowiadać
podkreślać|akcentować	uzasadniać|podbudowywać|argumentować|motywować|wyjaśniać
zaakcentować	wymówić|wyartykułować|wypowiedzieć
podkreślić|zaakcentować	uzasadnić|podbudować|uargumentować|umotywować|wyjaśnić
znaczyć	oznaczać|zaznaczać
galopować	przegalopować
galopować	przegalopować
odczytać	włamać się
odczytać	wczytać
sycić|nasycać	przesycać
sycić|nasycać	przesycić
sycić|nasycać	przesycać
rozgrzeszać|udzielać rozgrzeszenia|dawać rozgrzeszenie	spowiadać|udzielać spowiedzi|słuchać spowiedzi
rozgrzeszyć|udzielić rozgrzeszenia|dać rozgrzeszenie	wyspowiadać|udzielić spowiedzi|wysłuchać spowiedzi
rozgłaszać|głosić|trąbić|roznosić|rozsiewać	plotkować|mówić|gadać
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	przygnać|przypędzić
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	rozlecieć się
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	rozlatywać się
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	zlatywać się
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	przylecieć
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	przylatywać
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	zapędzić się
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	zapędzać się
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	nadlecieć
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	nadlatywać|podlatywać
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	oblecieć
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	oblatywać
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	podlecieć
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	przelatywać
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	zlecieć
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	zlatywać
gnać|gonić|mknąć|pędzić|pomykać|śmigać|pruć	przelecieć|przegalopować
przekwitać	starzeć się
rozkodować|odkodować|rozszyfrować|odszyfrować	odszyfrować|rozszyfrować|zdekodować
rozkodowywać|odkodowywać|rozszyfrowywać|odszyfrowywać	dekodować|odszyfrowywać|rozszyfrowywać
podgrzać	odparować
wąchać	nawąchać się
wąchać	obwąchać
wąchać	obwąchiwać
wąchać	wąchać
wąchać	wietrzyć|węszyć
wypatrzyć	upatrzyć
zataczać się	zatoczyć się
spocić się|spotnieć	zgrzać się
przelicytować	zlicytować
przelicytowywać	licytować
leźć	wleźć
leźć	włazić
oziębić	przesycić
ściągnąć	znieść
ściągać	znosić
ściągać	przebrać
syczeć|sykać	syczeć|sykać|psykać
rozpryskiwać się|rozbryzgiwać się	tryskać|wytryskać|wytryskiwać|strzykać
rozpryskać się|rozprysnąć się|rozbryznąć się|rozbryzgać się	trysnąć|wytrysnąć|strzyknąć
rozpryskać|rozprysnąć|rozbryzgać|rozbryzgnąć|rozchlapać	chlapnąć|chlupnąć|bluzgnąć|bryzgnąć|bluznąć
ochlapywać|opryskiwać|obryzgiwać|zapryskiwać|zabryzgiwać|zachlapywać	prysnąć
ochlapywać|opryskiwać|obryzgiwać|zapryskiwać|zabryzgiwać|zachlapywać	pryskać|bryzgać
przesuwać się	szurać
przesuwać się	szurnąć
pryskać|spryskiwać|opryskiwać	wypryskać
pryskać|spryskiwać|opryskiwać	wypryskiwać
pryskać|bryzgać	wypryskiwać
pryskać|bryzgać	rozpryskać się|rozprysnąć się|rozbryznąć się|rozbryzgać się
wyciągać	ssać
przybiegać	zbiegać się
przybiec	zbiec się|zbiegnąć się
rozwidlić się|rozgałęzić się|rozbiec się|rozejść się	rozgałęziać się
rozwidlić się|rozgałęzić się|rozbiec się|rozejść się	rozgałęzić się
zasadzić|oprzeć|oprzeć się|zasadzić się	powołać się
zapobiegać	chronić się
przeciwdziałać	poradzić
łamać się	przełamywać się|rozłamywać się
łamać się	przełamać się|rozłamać się
upodlić się|spodlić się	zhańbić się|pohańbić się|okryć się hańbą|splugawić się
upadlać się|spodlać się	hańbić się|okrywać się hańbą|plugawić się
zaszywać	zaszyć
zaszywać	zaszywać
zadźwięczeć	powiedzieć|wypowiedzieć
usługiwać	nadskakiwać
filtrować|przefiltrowywać|sączyć|przesączać	filtrować
holować	doholować
holować	doholowywać
holować	przeholowywać
holować	przeholować
holować	brać na hol
holować	odholowywać
holować	przyholowywać
holować	przyholować
holować	odholować
wbijać|bić	zaklinować
wbijać|bić	klinować|zaklinowywać
wbijać|bić	przybijać
tłuc|rozbijać|roztłukiwać	utłuc
przekopywać|kopać|skopywać	pokopać
wykopać	przesadzić
obrócić|okręcić	pokręcić
obrócić|okręcić	pokręcić
uderzać|stukać	haratać
uderzać|stukać	ścinać
uderzać|stukać	staranować
uderzać|stukać	taranować
uderzać|stukać	pobijać
uderzać|stukać	tłuc
uderzać|stukać	wytrzepać
uderzać|stukać	trzepać|wytrzepywać
uderzać|stukać	haratać
uderzać|stukać	pouderzać
uderzać|stukać	stukać|pukać|kołatać|stukotać
skubać	skubać
skubnąć	uszczknąć|uskubnąć|skubnąć
skubać	oskubać|obskubać
nadużyć	rozporządzić się
dokładać się	składać się
dołożyć się	złożyć się
wykrwawiać się	wykrwawić się
wykrwawiać się	wykrwawiać się
udławić się|zadławić się	udławić się
pompować|przepompowywać|tłoczyć	wypompowywać
pompować|przepompowywać|tłoczyć	wpompować|wtłoczyć
pompować|przepompowywać|tłoczyć	wpompowywać
pompować|przepompowywać|tłoczyć	pompować
przepompować	wypompować
podsadzać	przesadzać
podsadzić	przesadzić
zajeżdżać	zajeździć
zajeżdżać	zajeżdżać
truć|zatruwać|otruwać	wytruwać
truć|zatruwać|otruwać	wytruć
zasolić	zasolić
zasalać	zasalać
podlizywać się	lizać dupę|włazić w dupę|całować w dupę|całować tyłek|całować w tyłek|włazić w tyłek
podlizać się	wylizać dupę|wleźć w tyłek|wleźć w dupę
przeszkolić	przekwalifikować
zalać	zlać
wbudowywać	obudowywać
wbudować	obudować
żartować	pożartować
żartować	pożartować|pośmiać się
puścić	przepuścić
puścić	spłukać się|wyczyścić się
puszczać	przepuszczać
puszczać	spłukiwać się|wyczyszczać się
rościć	uzurpować
palić się|płonąć	zajmować
palić się|płonąć	zająć
palić się|płonąć	dopalać się
filować	grać|grać w karty
wozić	nawozić się
wozić	rozwieźć
wozić	rozwozić
wozić	dowozić
puścić|wypuścić	wykiełkować|wzejść|zakiełkować
puszczać|wypuszczać	kiełkować|wschodzić
ulec	nagiąć się
ulec	odbyć stosunek płciowy
ulegać	współżyć|spółkować|kopulować|mieć seks|odbywać stosunek płciowy
łasić się	połasić się
przyznać	dać
polecić	przesadzić
polecać	przesadzać
zalecić	poradzić
zalecać	radzić
zarządzić	dać
wziąć	pobrać
wieźć	powieźć
wieźć	zawozić|przywozić
wieźć	przywieźć|dowieźć|zawieźć
sterować	przesterować
turlać się	poturlać się
wystawiać	asygnować
wystawiać	atestować
wystawić	asygnować
wystawić	atestować
przesadzić	rozsadzić
przesadzać	rozsadzać
pieścić	popieścić
przedzielić|rozdzielić	przełożyć
odgrodzić	odgrodzić
przegrodzić	przegrodzić
wysiedlić	przesiedlić
wysiedlać	przesiedlać
ziębnąć|przemarzać	przeziębiać się|zaziębiać się|przechładzać się
zaizolować	odizolować
wzrastać	przyozdabiać się
wzrastać	przyozdobić się
holować	doholować
holować	doholowywać
holować	przyholowywać
holować	przyholować
holować	odholowywać
holować	odholować
zetknąć	złączyć
pisać się	wpisać się|zapisać się
pisać się	wpisywać się|zapisywać się
dzwonić	dodzwonić się
dzwonić	dodzwaniać się
zarejestrować	przerejestrować
oszklić	przeszklić
patroszyć|wypatroszać	oprawiać|oporządzać
wypatroszyć	oprawić|oporządzić
liczyć|zliczać	naliczyć się
liczyć|zliczać	rozliczać
liczyć|zliczać	rozliczyć
liczyć|zliczać	przeliczać
liczyć|zliczać	przeliczyć
liczyć|zliczać	kwotować
zabałaganić	skotłować
bałaganić	kotłować
zadymiać	podkurzać
zadymić	podkurzyć
polać	opić|oblać
polewać	opijać|oblewać
wylać	zabetonować|wybetonować|obetonować
wylewać	betonować|obetonowywać
blefować|bluffować	grać|grać w karty
wykopywać	przesadzać
kopać	odbijać
kopnąć	odbić
zapalać|świecić|zaświecać	oświetlać
palić	kadzić|okadzać
rozpalać|rozniecać|niecić	palić
dziać	podziać
przylecieć	zlecieć się
deklarować się	opowiedzieć się
deklarować się	opowiadać się
żałować|wyrzucać sobie	kajać się|bić się w piersi|posypywać głowę popiołem|sypać głowę popiołem
pomagać	sprowadzać
stroić|nastrajać|zestrajać	dostrajać
stroić|nastrajać|zestrajać	dostroić
warzyć	nawarzyć
leniuchować|próżnować|obijać się|lenić się	pobyczyć się|powylegiwać się
leniuchować|próżnować|obijać się|lenić się	przebimbać
zaklasyfikować się|zakwalifikować się|zaliczyć się	wejść
truchtać	potruchtać
raczyć	fetować
rozgarniać	wkopywać się
rozgarnąć	wkopać się
wysypywać	odsypywać
wysypywać	odsypać
wykręcać	rozkręcać
wykręcać	rozkręcić
losować	rozlosować
rozpychać	rozpychać się
rozpychać	rozepchać się|rozepchnąć się
pchać się	rozpychać się
pchać się	rozepchnąć się|rozepchać się
wystroić	dostrajać
wystroić	dostroić
ucinać	amputować
uciąć	amputować
dojechać|zajechać	zjechać się|zjechać
tupać	tupotać
przytupywać	tańczyć|pląsać|tańcować
zjeżdżać	zjeżdżać się
jeździć	objeździć|objechać
jeździć	objeżdżać
odbić	zatańczyć
odbijać	tańczyć|pląsać|tańcować
pędzić|ganiać|gnać|popędzać|przeganiać	przygonić|przygnać|przypędzić
pędzić|ganiać|gnać|popędzać|przeganiać	przyganiać|przypędzać
pędzić|ganiać|gnać|popędzać|przeganiać	wpędzić|wgonić
pędzić|ganiać|gnać|popędzać|przeganiać	wpędzać|wganiać
pędzić|ganiać|gnać|popędzać|przeganiać	spędzać|zapędzać|zaganiać|zganiać
pędzić|ganiać|gnać|popędzać|przeganiać	zganiać|spędzać|przepędzać|przeganiać
pędzić|ganiać|gnać|popędzać|przeganiać	spędzić|zagonić|zapędzić|zegnać|zgonić
pędzić|ganiać|gnać|popędzać|przeganiać	spędzić|zgonić|zegnać|przepędzić|przegonić|przegnać
nabazgrać|nagryzmolić	zabazgrać
włamywać się	odczytywać
zaplątać się|zapętlić się	wplątać się
certyfikować	poświadczać
odbić	zwariować|oszaleć
odbijać	szaleć|wariować
prowadzić	tańczyć|pląsać|tańcować
prowadzić|przeprowadzać	przeciągać
prowadzić	grać
poprowadzić|przeprowadzić	przeciągnąć
komenderować	odkomenderowywać
zwabić|przywabić	wezwać|zawołać|przywołać|przyzwać|zawezwać
zdusić	stłumić|zdusić
wdzierać się	włamywać się
korzyć się|chylić głowę|bić czołem|bić pokłony	kłaniać się
chować ogon pod siebie|cienko śpiewać|kłaść uszy po sobie|tulić uszy po sobie|spuszczać uszy po sobie|brać uszy po sobie|kulić uszy po sobie|tulić uszy|tulić ogon pod siebie|kulić ogon pod siebie|brać ogon pod siebie|zwijać ogon pod siebie|podkulać ogon pod siebie	podporządkowywać się|stosować się
schować ogon pod siebie|położyć uszy po sobie|spuścić uszy po sobie|wziąć uszy po sobie|skulić uszy po sobie|stulić uszy|stulić uszy po sobie|skulić ogon pod siebie|wziąć ogon pod siebie|zwinąć ogon pod siebie|stulić ogon pod siebie|podkulić ogon pod siebie|cienko zaśpiewać	podporządkować się|zastosować się
przełknąć|połknąć|łyknąć	jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się
przełykać|połykać|łykać	jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się
odtransportować	odstawić
wyjednywać	wyłudzać
trąbić	odtrąbić
trąbić	odtrąbić
trąbić	odtrąbić
ciąć	zacinać
odizolować się|odosobnić się	zasklepiać się
odizolować się|odosobnić się	zasklepić się
unikać|stronić	dziczeć
maszerować	przemaszerować się
zaciąć	powozić|furmanić
zaciąć	wędkować|łowić
zacinać	wędkować|łowić
strzyc	prowadzić
gasić|wyłączać|zamykać|wygaszać|zagaszać	przygaszać
szlusować	rozwijać
dojść	dojść
dojść	dojść|dobiec|dobiegnąć
dochodzić	dochodzić|szczytować
dochodzić	dochodzić|dobiegać
dochodzić|szczytować	współżyć|spółkować|kopulować|mieć seks|odbywać stosunek płciowy
dojść	odbyć stosunek płciowy
iść|biec|biegnąć	zbiegać się
iść|biec|biegnąć	odchodzić|odgałęziać się
iść	radzić sobie|dawać sobie radę
wlec się|ciągnąć się|toczyć się|turlać się	powlec się|poleźć
wlec się|ciągnąć się|toczyć się|turlać się	przetoczyć się
wlec się|ciągnąć się|toczyć się|turlać się	przetaczać się
wlec się|ciągnąć się|toczyć się|turlać się	zawlekać się
wlec się|ciągnąć się|toczyć się|turlać się	zawlec się|przywlec się
wlec się|ciągnąć się|toczyć się|turlać się	przytoczyć się|przyturlać się|dowlec się|dotoczyć się|doturlać się
wlec się|ciągnąć się|toczyć się|turlać się	wytoczyć się
wlec się|ciągnąć się|toczyć się|turlać się	wytaczać się
wlec się|ciągnąć się|toczyć się|turlać się	wtoczyć się
wlec się|ciągnąć się|toczyć się|turlać się	wtaczać się
gapić się	pogapić się
rozglądać się	porozglądać się
brać|pobierać	wymieniać się|zamieniać się
odgradzać się	zamykać się
zareklamować	wylansować
ściągnąć	przebierać
przysparzać|przynosić	bogacić się|dorabiać się|zbijać majątek|wzbogacać się|zbijać
zaokrąglić	liczyć|zliczać
zaokrąglać	liczyć|zliczać
kryć	grać
kryć	boksować
pokryć	zafoliować|zalaminować
pokrywać|kryć	foliować|laminować
pokryć	obłożyć
pokrywać	obkładać|okładać
pokryć	wyrównać|zrównać
pokryć	rozwinąć
człapać	doczłapywać|doczłapywać się
człapać	doczłapać|doczłapać się
zaciskać|ściskać	odcisnąć
zaciskać|ściskać	odciskać
karłowacieć|karleć	wyradzać się
stopować	boksować się
stopować piłkę	grać
zastopować	boksować się
zastopować piłkę	grać
dzióbnąć|dziobnąć	jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się
dziobać|dzióbać	jeść|spożywać|zjadać|konsumować|posilać się|pożywiać się
dziobać|dzióbać	wydłubać|wydziobać|wydzióbać
dziobać|dzióbać	wydłubywać|wydziobywać|wydzióbywać
szydzić	wyszydzać
szydzić	wyszydzić
pozować	fotografować się|zdejmować się
pozować	sfotografować się|zdjąć się
rozpisać	zmienić|zmodyfikować
spieniać się|pienić się	wykipieć
kontrować	grać|grać w karty
spychać	zgarniać
zepchnąć	zgarnąć
wymanewrowywać	grać
klepać	sklepywać
żegnać się	modlić się|zanosić modły|odmawiać pacierz
przeżegnać się	pomodlić się
szukać	błądzić|błąkać się
poszukiwać	pogrzebać|pogmerać
chować|trzymać	potrzymać
zdobyć	grać
zdobywać	grać
sparować|sparzyć	rozmnażać|mnożyć|rozpleniać|pomnażać
