desperacja	desperować
zaszemranie	zaszemrać
gwizdnięcie	gwizdnąć
zagwizdanie	zagwizdać
zarechotanie	zarechotać
wyrwanie się	wyrwać się
zapiszczenie	zapiszczeć
zakaszlenie się	zakaszleć się
zakasłanie się	zakasłać się
chrząknięcie	chrząknąć
zaśpiewanie	zaśpiewać
zachrypienie	zachrypieć
wydobycie głosu	wydobyć głos
wydanie głosu	wydać głos
odśpiewanie	odśpiewać
stęknięcie	stęknąć
czknięcie	czknąć
syknięcie	syknąć
zasyczenie	zasyczeć
zaśmianie się	zaśmiać się
roześmianie się	roześmiać się
zachłyśnięcie się	zachłysnąć się
odezwanie się	odezwać się
przemówienie	przemówić
zabranie głosu	zabrać głos
pyknięcie	pyknąć
krzyknięcie	krzyknąć
ryknięcie	ryknąć
zarżenie	zarżeć
zachichotanie	zachichotać
zaniesienie się	zanieść się
fuknięcie	fuknąć
prychnięcie	prychnąć
jęknięcie	jęknąć
zajęczenie	zajęczeć
nabarłożenie	nabarłożyć
napalenie	napalić
zaczadzenie	zaczadzić
zasiarczenie	zasiarczyć
osmalenie	osmalić
okopcenie	okopcić
zakopcenie	zakopcić
zaśmiecenie	zaśmiecić
zasolenie	zasolić
zadymienie	zadymić
skażenie	skazić
zanieczyszczenie	zanieczyścić
zasmrodzenie	zasmrodzić
zamulenie	zamulić
sklonowanie	sklonować
skrzyżowanie	skrzyżować
zamortyzowanie	zamortyzować
stłumienie	stłumić
zastukanie	zastukać
odprężenie	odprężyć
dobycie	dobyć
rozkrzewienie	rozkrzewić
zagrzechotanie	zagrzechotać
zachrzęszczenie	zachrzęścić
rozmnożenie	rozmnożyć
pomnożenie	pomnożyć
rozplenienie	rozplenić
GERUNDIUM - AKT oznaczający spowodowanie zjawiska fizycznego lub zmiany stanu fizycznego	CZASOWNIK - AKT oznaczający spowodowanie zjawiska fizycznego lub zmiany stanu fizycznego
brząknięcie	brząknąć
brzęknięcie	brzęknąć
szczęknięcie	szczęknąć
zabrzęczenie	zabrzęczeć
wytworzenie dźwięku	wytworzyć dźwięk
wydobycie	wydobyć
pociągnięcie	pociągnąć
szarpnięcie	szarpnąć
ruszenie	ruszyć
poruszenie	poruszyć
wprawienie w ruch	wprawić w ruch
targnięcie	targnąć
nakręcenie	nakręcić
zatrzęsienie	zatrząść
powleczenie	powlec
rozkołysanie	rozkołysać
rozbujanie	rozbujać
rozhuśtanie	rozhuśtać
wstrząśnięcie	wstrząsnąć
potrząśnięcie	potrząsnąć
przetrząśnięcie	przetrząsnąć
zamiecenie	zamieść
wahnięcie	wahnąć
odkręcenie gazu	odkręcić gaz
odpalenie	odpalić
mignięcie	mignąć
włączenie	włączyć
włączenie	włączyć
puszczenie	puścić
odpalenie	odpalić
zapuszczenie	zapuścić
odkręcenie kurka	odkręcić kurek
odkręcenie wody	odkręcić wodę
zaświecenie	zaświecić
zapalenie	zapalić
odtworzenie	odtworzyć
zapalenie	zapalić
włączenie	włączyć
pocięcie	pociąć
pogryzienie	pogryźć
poobijanie	poobijać
poharatanie	poharatać
pokrwawienie	pokrwawić
pokancerowanie	pokancerować
poszatkowanie	poszatkować
pokrojenie	pokroić
poranienie	poranić
pokiereszowanie	pokiereszować
pokaleczenie	pokaleczyć
pokąsanie	pokąsać
pokłucie	pokłuć
poprzecinanie	poprzecinać
poszarpanie	poszarpać
pocięcie	pociąć
skopanie	skopać
pokopanie	pokopać
wkopanie	wkopać
przećwiczenie	przećwiczyć
wybicie	wybić
spałowanie	spałować
zbutowanie	zbutować
wlanie	wlać
posiniaczenie	posiniaczyć
skatowanie	skatować
zmaltretowanie	zmaltretować
obicie	obić
pobicie	pobić
zbicie	zbić
stłuczenie	stłuc
poturbowanie	poturbować
zlanie	zlać
spranie	sprać
wrąbanie	wrąbać
zmasakrowanie	zmasakrować
ubiczowanie	ubiczować
wysmaganie	wysmagać
wychłostanie	wychłostać
potłuczenie	potłuc
nalanie	nalać
dolanie	dolać
skrojenie	skroić
sklepanie	sklepać
nabicie	nabić
oćwiczenie	oćwiczyć
danie wycisku	dać wycisk
sprowadzenie	sprowadzić
wybicie	wybić
wytrącenie	wytrącić
spełźnięcie	spełznąć
GERUNDIUM - AKT oznaczający spowodowanie zmiany stanu posiadania	CZASOWNIK - AKT oznaczający spowodowanie zmiany stanu posiadania
uruchomienie	uruchomić
ubezpieczenie się	ubezpieczyć się
uznanie	uznać
odblokowanie	odblokować
zidentyfikowanie się	zidentyfikować się
przekonanie się	przekonać się
odprężenie	odprężyć
zrelaksowanie	zrelaksować
wyluzowanie	wyluzować
rozluźnienie	rozluźnić
kupienie	kupić
wytłuczenie	wytłuc
pobłogosławienie	pobłogosławić
GERUNDIUM - AKT oznaczający spowodowanie zmiany położenia lub relacji przestrzennych	CZASOWNIK - AKT oznaczający spowodowanie zmiany położenia lub relacji przestrzennych
GERUNDIUM - AKT oznaczający spowodowanie zmiany stanu mentalnego, emocjonalnego lub psychiczno-fizjologicznego	CZASOWNIK - AKT oznaczający spowodowanie zmiany stanu mentalnego, emocjonalnego lub psychiczno-fizjologicznego
zejście	zejść
zstąpienie	zstąpić
odbicie	odbić
zaaprobowanie	zaaprobować
spowodowanie _AKT_	spowodować _AKT_
GERUNDIUM - AKT oznaczający kontakt fizyczny, który wpływa na obiekt	CZASOWNIK - AKT oznaczający kontakt fizyczny, który wpływa na obiekt
przyjęcie	przyjąć
zaangażowanie	zaangażować
wzięcie	wziąć
zaokrętowanie	zaokrętować
zamustrowanie	zamustrować
uwikłanie	uwikłać
wplątanie	wplątać
zawikłanie	zawikłać
wpakowanie	wpakować
wkopanie	wkopać
włączenie	włączyć
zwerbowanie	zwerbować
wciągnięcie	wciągnąć
zatrudnienie	zatrudnić
zaangażowanie	zaangażować
zgodzenie	zgodzić
ugodzenie	ugodzić
zamieszanie	zamieszać
wmieszanie	wmieszać
wrysowanie	wrysować
przekopiowanie	przekopiować
zapisanie	zapisać
wpisanie	wpisać
zgłoszenie	zgłosić
wbudowanie	wbudować
zanotowanie	zanotować
odnotowanie	odnotować
upstrzenie	upstrzyć
usianie	usiać
uruchomienie	uruchomić
wymeldowanie	wymeldować
skatalogowanie	skatalogować
inkorporowanie	inkorporować
wplecenie	wpleść
wklejenie	wkleić
włączenie	włączyć
wcielenie	wcielić
przyłączenie	przyłączyć
zarejestrowanie	zarejestrować
wgranie	wgrać
wkomponowanie	wkomponować
wtopienie	wtopić
wchłonięcie	wchłonąć
wciągnięcie	wciągnąć
wpisanie	wpisać
wprowadzenie	wprowadzić
zaksięgowanie	zaksięgować
puszczenie	puścić
odbiegnięcie	odbiegnąć
odbiegnięcie	odbiec
zamknięcie buzi na kłódkę	zamknąć buzię na kłódkę
odsunięcie	odsunąć
wyłączenie się	wyłączyć się
odcięcie się	odciąć się
odżegnanie się	odżegnać się
odstawienie	odstawić
porzucenie	porzucić
zamknięcie gęby na kłódkę	zamknąć gębę na kłódkę
zamknięcie mordy na kłódkę	zamknąć mordę na kłódkę
zajechanie	zajechać
zamilknięcie	zamilknąć
umilknięcie	umilknąć
posiadanie	posiadać
wylądowanie	wylądować
odpłynięcie	odpłynąć
rozstanie się	rozstać się
stanięcie	stanąć
zatrzymanie się	zatrzymać się
zerwanie	zerwać
stulenie pyska	stulić pysk
stulenie gęby	stulić gębę
stulenie dziobu	stulić dziób
stulenie mordy	stulić mordę
stulenie ryja	stulić ryj
stulenie ryja	stulić ryja
wyłączenie się	wyłączyć się
przystanięcie	przystanąć
siądnięcie	siąść
usiądnięcie	usiąść
zawieszenie głosu	zawiesić głos
przytkanie się	przytkać się
wyłączenie się	wyłączyć się
wyłączenie	wyłączyć
urwanie	urwać
zamilknięcie	zamilknąć
umilknięcie	umilknąć
wstanie	wstać
stulenie buzi	stulić buzię
przestanie	przestać
zaprzestanie	zaprzestać
zamknięcie się	zamknąć się
stulenie się	stulić się
przymknięcie się	przymknąć się
ugryzienie się w język	ugryźć się w język
ustąpienie	ustąpić
zahamowanie	zahamować
zboczenie	zboczyć
zjechanie	zjechać
zejście	zejść
osadzenie się	osadzić się
odejście	odejść
odejście	odejść
nabranie wody w gębę	nabrać wody w gębę
nabranie wody do gęby	nabrać wody do gęby
rozminięcie się	rozminąć się
minięcie się	minąć się
zadryfowanie	zadryfować
rozejście się	rozejść się
zerwanie	zerwać
nabranie wody w usta	nabrać wody w usta
zamilczenie	zamilczeć
zapomnienie	zapomnieć
pożegnanie się	pożegnać się
poniechanie	poniechać
zaniechanie	zaniechać
wycofanie się	wycofać się
przepuszczenie	przepuścić
zdezerterowanie	zdezerterować
odżegnanie się	odżegnać się
rozstanie się	rozstać się
danie sobie spokoju	dać spokój
podarowanie sobie	podarować
machnięcie ręką	machnąć ręką
odpuszczenie sobie	odpuścić sobie
cofnięcie się rakiem	cofnąć się rakiem
puszczenie płazem	puścić płazem
popuszczenie	popuścić
postawienie krzyżyka	postawić krzyżyk
położenie krzyżyka	położyć krzyżyk
zrezygnowanie	zrezygnować
odejście	odejść
zarzucenie	zarzucić
zaniechanie	zaniechać
spasowanie	spasować
zwinięcie żagli	zwinąć żagle
zwinięcie chorągiewki	zwinąć chorągiewkę
położenie lachy	położyć lachę
zwolnienie się	zwolnić się
darowanie	darować
podarowanie	podarować
spisanie ... na straty	spisać na straty
oszczędzenie	oszczędzić
zakończenie	zakończyć
wyspanie się	wyspać się
dospanie	dospać
doszycie	doszyć
wyjście	wyjść
odbycie	odbyć
przeterminowanie	przeterminować
zremisowanie	zremisować
wrócenie	wrócić
przebycie	przebyć
dogranie	dograć
zejście się	zejść się
zamknięcie	zamknąć
dopięcie	dopiąć
wyleżenie się	wyleżeć się
ochłonięcie	ochłonąć
odespanie	odespać
odsłużenie	odsłużyć
doczytanie	doczytać
odpoczęcie	odpocząć
odsapnięcie	odsapnąć
odzipnięcie	odzipnąć
wytchnięcie	wytchnąć
wypoczęcie	wypocząć
odetchnięcie	odetchnąć
zażycie odpoczynku	zażyć odpoczynku
dopalenie	dopalić
dobudowanie	dobudować
doładowanie	doładować
wylicytowanie	wylicytować
dodrukowanie	dodrukować
rozgrzanie się	rozgrzać się
spauzowanie	spauzować
ukończenie	ukończyć
skończenie	skończyć
pojednanie się	pojednać się
pogodzenie się	pogodzić się
wyjście	wyjść
dostrojenie	dostroić
uwieńczenie	uwieńczyć
wyjście	wyjść
donoszenie	donosić
zdążenie	zdążyć
odprężenie się	odprężyć się
odetchnięcie	odetchnąć
rozluźnienie się	rozluźnić się
zrelaksowanie się	zrelaksować się
rozprężenie się	rozprężyć się
wyluzowanie się	wyluzować się
odpoczęcie	odpocząć
dośpiewanie	dośpiewać
dopowiedzenie	dopowiedzieć
skończenie	skończyć
sfinalizowanie	sfinalizować
położenie kresu	położyć kres
dokonanie	dokonać
domalowanie	domalować
zapobieżenie	zapobiec
zapobiegnięcie	zapobiegnąć
zażegnanie	zażegnać
zaradzenie	zaradzić
nawinięcie się	nawinąć się
podniesienie	podnieść
przystąpienie	przystąpić
zabranie się	zabrać się
wzięcie się	wziąć się
załkanie	załkać
zaczęcie	zacząć
chlipnięcie	chlipnąć
rozćwierkanie się	rozćwierkać się
zadzierzgnięcie	zadzierzgnąć
otworzenie	otworzyć
rozszumienie się	rozszumieć się
zawtórowanie	zawtórować
przejście	przejść
rozświergotanie się	rozświergotać się
rozszczebiotanie się	rozszczebiotać się
zaintonowanie	zaintonować
rozkrzyczenie się	rozkrzyczeć się
ruszenie	ruszyć
zaszlochanie	zaszlochać
wszczęcie	wszcząć
wzniecenie	wzniecić
zawinięcie się	zawinąć się
kupienie	kupić
wdrożenie	wdrożyć
rozszczekanie się	rozszczekać się
zagranie	zagrać
wzięcie na hol	wziąć na hol
zaprzyjaźnienie się	zaprzyjaźnić się
zrobienie pierwszego kroku	zrobić pierwszy krok
zapoczątkowanie	zapoczątkować
danie początku	dać początek
uwierzenie	uwierzyć
danie wiary	dać wiarę
zaufanie	zaufać
zagajenie	zagaić
wejście	wejść
wzięcie	wziąć
nawiązanie	nawiązać
zawiązanie	zawiązać
rozszumienie się	rozszumieć się
rozgadanie się	rozgadać się
pójście	pójść
tknięcie się	tknąć się
wprowadzenie	wprowadzić
rozśpiewanie się	rozśpiewać się
rozpłakanie się	rozpłakać się
zapłakanie	zapłakać
zadebiutowanie	zadebiutować
jęcie się	jąć się
zastartowanie	zastartować
pójście w ślady	pójść w ślady
pójście śladem	pójść śladem
wstąpienie w ślady	wstąpić w ślady
wystartowanie	wystartować
zabuczenie	zabuczeć
zabeczenie	zabeczeć
zakolegowanie się	zakolegować się
zakumplowanie się	zakumplować się
zaczęcie	zacząć
rozpoczęcie	rozpocząć
zainicjowanie	zainicjować
wszczęcie	wszcząć
jęcie	jąć
poczęcie	począć
uruchomienie	uruchomić
wystąpienie	wystąpić
zbratanie się	zbratać się
wystartowanie	wystartować
napoczęcie	napocząć
naruszenie	naruszyć
ruszenie	ruszyć
GERUNDIUM - AKT oznaczający zmianę relacji abstrakcyjnych	CZASOWNIK - AKT oznaczający zmianę relacji abstrakcyjnych
ostrzelanie	ostrzelać
obstrzelanie	obstrzelać
GERUNDIUM - AKT oznaczający reakcję organizmu lub czynność fizjologiczne	CZASOWNIK - AKT oznaczający reakcję organizmu lub czynność fizjologiczną
walnięcie	walnąć
zbombardowanie	zbombardować
zrobienie _AKT_ DK	zrobić _AKT_ DK
zaczepienie	zaczepić
ucięcie	uciąć
odróżnienie	odróżnić
GERUNDIUM - AKT oznaczający następstwo czasowe zdarzeń	CZASOWNIK - AKT oznaczający następstwo czasowe zdarzeń
przeleżenie	przeleżeć
odkupienie	odkupić
starcie się	zetrzeć się
GERUNDIUM - AKT oznaczający zjawisko fizyczne	CZASOWNIK - AKT oznaczający zjawisko fizyczne
zaatakowanie	zaatakować
natarcie	natrzeć
najechanie	najechać
uderzenie	uderzyć
naparcie	naprzeć
odzyskanie	odzyskać
przespanie	przespać
wykupienie	wykupić
przeczekanie	przeczekać
rozciągnięcie się	rozciągnąć się
wyróżnienie	wyróżnić
przeczesanie	przeczesać
nastąpienie	nastąpić
uczesanie	uczesać
utrzymanie	utrzymać
GERUNDIUM - AKT oznaczający sytuacje związane z łańcuchem przyczynowo-skutkowym	CZASOWNIK - AKT oznaczający sytuacje związane z łańcuchem przyczynowo-skutkowym
GERUNDIUM - AKT oznaczający kontakt fizyczny	CZASOWNIK - AKT oznaczający kontakt fizyczny
wyczekanie	wyczekać
doczekanie	doczekać
wyszczotkowanie	wyszczotkować
rypnięcie	rypnąć
zmęczenie	zmęczyć
zmordowanie	zmordować
wymęczenie	wymęczyć
danie	dać
wejście	wejść
zaczęcie	zacząć
zadarcie	zadrzeć
zaczekanie	zaczekać
wyprzedzenie	wyprzedzić
uprzedzenie	uprzedzić
ubiegnięcie	ubiec
ubiegnięcie	ubiegnąć
wytłuszczenie	wytłuścić
pogrubienie	pogrubić
zwieńczenie	zwieńczyć
przeoczenie	przeoczyć
obwieszczenie	obwieścić
zakończenie	zakończyć
zrobienie _WYPADEK_DK	zrobić _WYPADEK_DK
zagapienie się	zagapić się
przepuszczenie	przepuścić
pominięcie	pominąć
niezauważenie	nie zauważyć
dowiedzenie	dowieść
zaświadczenie	zaświadczyć
przespanie	przespać
zaspanie	zaspać
przegapienie	przegapić
koronowanie	koronować
zamknięcie	zamknąć
wytrawienie	wytrawić
naświetlenie	naświetlić
napromieniowanie	napromieniować
napromienienie	napromienić
orzeźwienie	orzeźwić
odświeżenie	odświeżyć
przewietrzenie	przewietrzyć
wywietrzenie	wywietrzyć
oddziałanie	oddziałać
zadziałanie	zadziałać
podziałanie	podziałać
przepuszczenie	przepuścić
przetrawienie	przetrawić
zaatakowanie	zaatakować
sparowanie	sparować
zaważenie	zaważyć
naelektryzowanie	naelektryzować
potraktowanie	potraktować
poddanie	poddać
spieprzenie się	spieprzyć się
spierdolenie się	spierdolić się
schrzanienie się	schrzanić się
zjebanie się	zjebać się
spierdzielenie się	spierdzielić się
gruchnięcie się	gruchnąć się
sypnięcie się	sypnąć się
zsypanie się	zsypać się
zlecenie	zlecieć
zwalenie się	zwalić się
sfrunięcie	sfrunąć
spadnięcie	spaść
upadnięcie	upaść
sturlanie się	sturlać się
grzmotnięcie się	grzmotnąć się
przysypanie	przysypać
przypadnięcie	przypaść
rozsypanie się	rozsypać się
kropnięcie	kropnąć
runięcie	runąć
gruchnięcie	gruchnąć
grzmotnięcie	grzmotnąć
rymnięcie	rymnąć
rymsnięcie	rymsnąć
wyrżnięcie	wyrżnąć
sypnięcie	sypnąć
przekłucie	przekłuć
przerwanie	przerwać
przedziurawienie	przedziurawić
zakłucie	zakłuć
przeszycie	przeszyć
przewiercenie	przewiercić
prześwidrowanie	prześwidrować
dziobnięcie	dziobnąć
dzióbnięcie	dzióbnąć
nakłucie	nakłuć
nakłucie	nakłuć
ukłucie	ukłuć
dźgnięcie	dźgnąć
przebicie	przebić
przestrzelenie	przestrzelić
wybicie	wybić
pokiereszowanie	pokiereszować
odtrącenie	odtrącić
odtłuczenie	odtłuc
rozregulowanie	rozregulować
rozstrojenie	rozstroić
poderwanie	poderwać
popalenie	popalić
pokancerowanie	pokancerować
sparzenie	sparzyć
oparzenie	oparzyć
porysowanie	porysować
pokreślenie	pokreślić
poparzenie się	poparzyć się
podgryzienie	podgryźć
podjedzenie	podjeść
podżarcie	podeżreć
uszkodzenie	uszkodzić
utrącenie	utrącić
zadrapanie	zadrapać
zadrapnięcie	zadrapnąć
rozgotowanie	rozgotować
obicie	obić
obtłuczenie	obtłuc
wyszczerbienie	wyszczerbić
zjebanie	zjebać
spieprzenie	spieprzyć
spierdolenie	spierdolić
schrzanienie	schrzanić
okaleczenie	okaleczyć
oberwanie	oberwać
zarysowanie	zarysować
poturbowanie	poturbować
rozjeżdżenie	rozjeździć
zepsucie	zepsuć
popsucie	popsuć
utłuczenie	utłuc
przekręcenie	przekręcić
przetrącenie	przetrącić
spapranie	spaprać
przepalenie	przepalić
rozklejenie	rozkleić
spalenie	spalić
zdefektowanie	zdefektować
wstrząśnięcie	wstrząsnąć
nadpsucie	nadpsuć
zatarcie	zatrzeć
nadszarpnięcie	nadszarpnąć
nadszarpanie	nadszarpać
zadarcie	zadrzeć
naddarcie	nadedrzeć
naruszenie	naruszyć
przecieknięcie	przeciec
przecieknięcie	przecieknąć
utknięcie	utknąć
obruszenie	obruszyć
odbicie	odbić
zakleszczenie się	zakleszczyć się
utknięcie	utknąć
uwięźnięcie	uwięznąć
ugrzęźnięcie	ugrzęznąć
zacieknięcie	zacieknąć
zacieknięcie	zaciec
GERUNDIUM - WYPADEK oznaczający kontakt fizyczny, który wpływa na obiekt	CZASOWNIK - WYPADEK oznaczający kontakt fizyczny, który wpływa na obiekt
przepuszczenie	przepuścić
zawirowanie	zawirować
opierzenie	opierzyć
utkwienie	utkwić
utknięcie	utknąć
utkwienie	utkwić
przemoknięcie	przemoknąć
przemoczenie się	przemoczyć się
zaprószenie	zaprószyć
pocięcie	pociąć
ściągnięcie	ściągnąć
rozproszenie	rozproszyć
porwanie	porwać
zaniesienie	zanieść
zawianie	zawiać
rozsianie	rozsiać
zawianie	zawiać
powianie	powiać
przeniesienie	przenieść
uniesienie	unieść
przyniesienie	przynieść
zniesienie	znieść
nawianie	nawiać
przegonienie	przegonić
przegnanie	przegnać
przemieszczenie	przemieścić
nawianie	nawiać
zapylenie	zapylić
zwianie	zwiać
wywianie	wywiać
wyplucie	wypluć
rozpędzenie	rozpędzić
wwianie	wwiać
podniesienie	podnieść
wzniesienie	wznieść
wyniesienie	wynieść
naniesienie	nanieść
poderwanie	poderwać
poruszenie	poruszyć
powianie	powiać
zatrzęsienie	zatrząść
zakołysanie	zakołysać
zagonienie	zagonić
zapędzenie	zapędzić
GERUNDIUM - WYPADEK oznaczający spowodowanie zmiany położenia lub relacji przestrzennych	CZASOWNIK - WYPADEK oznaczający spowodowanie zmiany położenia lub relacji przestrzennych
zachwianie	zachwiać
rzucenie	rzucić
ścięcie	ściąć
roziskrzenie	roziskrzyć
wybrzuszenie	wybrzuszyć
opłynięcie	opłynąć
szurnięcie	szurnąć
GERUNDIUM - WYPADEK oznaczający spowodowanie zjawiska fizycznego lub zmiany stanu fizycznego	CZASOWNIK - WYPADEK oznaczający spowodowanie zjawiska fizycznego lub zmiany stanu fizycznego
owianie	owiać
owionięcie	owionąć
wysuszenie	wysuszyć
wyprażenie	wyprażyć
odbicie	odbić
zmrożenie	zmrozić
otoczenie	otoczyć
zawianie	zawiać
zrehabilitowanie się	zrehabilitować się
zajeżdżenie	zajeździć
GERUNDIUM - WYPADEK oznaczający spowodowanie reakcji organizmu lub czynności fizjologicznej	CZASOWNIK - WYPADEK oznaczający spowodowanie reakcji organizmu lub czynności fizjologicznej
zamęczenie się	zamęczyć się
przeziębienie	przeziębić
zaziębienie	zaziębić
przechłodzenie	przechłodzić
zamartwienie się	zamartwić się
zagryzienie się	zagryźć się
zmrożenie	zmrozić
przewianie	przewiać
zemdlenie	zemdlić
gnębienie się	gnębić się
gryzienie się	gryźć się
zamartwianie się	zamartwiać się
smucenie się	smucić się
troskanie się	troskać się
trapienie się	trapić się
frasowanie się	frasować się
martwienie się	martwić się
troszczenie się	troszczyć się
turbowanie się	turbować się
zabicie	zabić
zadręczenie się	zadręczyć się
wyleczenie się	wyleczyć się
wykurowanie się	wykurować się
wytrząśnięcie	wytrząsnąć
wytrzęsienie	wytrząść
przypomnienie się	przypomnieć się
odbicie się	odbić się
opanowanie	opanować
wypełnienie	wypełnić
przepełnienie	przepełnić
uniesienie	unieść
przeniknięcie	przeniknąć
owładnięcie	owładnąć
przepojenie	przepoić
przesycenie	przesycić
udzielenie się	udzielić się
wezbranie	wezbrać
napłynięcie	napłynąć
strzyknięcie	strzyknąć
łupnięcie	łupnąć
zakłucie	zakłuć
przyprawienie	przyprawić
zmiękczenie	zmiękczyć
zaćmienie	zaćmić
zmącenie	zmącić
odniesienie wrażenia	odnieść wrażenie
nadanie	nadać
GERUNDIUM - WYPADEK oznaczający spowodowanie zm. stanu mentalnego lub emocjonalnego albo reakcję emocjonalno-fizjologiczną	CZASOWNIK - WYPADEK oznaczający spowodowanie zmiany stanu mentalnego lub emocjonalnego albo reakcję emocjonalno-fizjologiczną
zaciążenie	zaciążyć
skrzywdzenie	skrzywdzić
rozjarzenie	rozjarzyć
wydobycie	wydobyć
zabolenie	zaboleć
uwydatnienie	uwydatnić
postarzenie	postarzyć
zaznaczenie	zaznaczyć
rozsadzenie	rozsadzić
unicestwienie	unicestwić
pochłonięcie	pochłonąć
spotkanie się	spotkać się
spiknięcie się	spiknąć się
zapowiedzenie	zapowiedzieć
obiecanie	obiecać
odpalanie	odpalać
spotkanie	spotkać
napotkanie	napotkać
natknięcie się	natknąć się
natrafienie	natrafić
trafienie	trafić
zobaczenie	zobaczyć
uwstecznienie się	uwstecznić się
przetrawienie	przetrawić
strawienie	strawić
wchłonięcie	wchłonąć
doczekanie się	doczekać się
doigranie się	doigrać się
wrócenie	wrócić
powrócenie	powrócić
popadnięcie	popaść
ześlizgnięcie się	ześlizgnąć się
ześliźnięcie się	ześliznąć się
cofnięcie się	cofnąć się
otarcie się	otrzeć się
GERUNDIUM - WYPADEK oznaczający spowodowanie zm. sytuacji związanej z łańcuchem przyczynowo-skutkowym	CZASOWNIK - WYPADEK oznaczający spowodowanie zmiany sytuacji związanej z łańcuchem przyczynowo-skutkowym
nacięcie się	naciąć się
nadzianie się	nadziać się
wejście	wejść
wlezienie	wleźć
władowanie się	władować się
wpadnięcie	wpaść
poczynienie	poczynić
zasygnalizowanie	zasygnalizować
znalezienie się	znaleźć się
ożywienie	ożywić
ubłaganie	ubłagać
przebłaganie	przebłagać
wzbudzenie uczuć pozytywnych	wzbudzić uczucia pozytywne
przypodobanie się	przypodobać się
napojenie	napoić
obsłużenie	obsłużyć
zniewolenie	zniewolić
zmiękczenie	zmiękczyć
rozkochanie	rozkochać
wystarczenie	wystarczyć
zaimponowanie	zaimponować
rozczytanie	rozczytać
oszołomienie	oszołomić
odurzenie	odurzyć
ogłuszenie	ogłuszyć
porażenie	porazić
zdobycie przychylności	zdobyć przychylność
zjednanie	zjednać
zaspokojenie	zaspokoić
nasycenie	nasycić
ujęcie	ująć
ujęcie za serce	ująć za serce
podbicie	podbić
zjednanie	zjednać
zawojowanie	zawojować
spodobanie się	spodobać się
przypadnięcie do gustu	przypaść do gustu
zadowolenie	zadowolić
dogodzenie	dogodzić
usatysfakcjonowanie	usatysfakcjonować
rozmiłowanie	rozmiłować
ukontentowanie	ukontentować
zaskarbienie	zaskarbić
zahipnotyzowanie	zahipnotyzować
rozkrochmalenie	rozkrochmalić
zaspokojenie się	zaspokoić się
nasycenie się	nasycić się
pokrycie	pokryć
rozklejenie	rozkleić
poderwanie	poderwać
uszczęśliwienie	uszczęśliwić
wzruszenie	wzruszyć
rozczulenie	rozczulić
rozrzewnienie	rozrzewnić
roztkliwienie	roztkliwić
rozkrochmalenie	rozkrochmalić
zachwycenie	zachwycić
oczarowanie	oczarować
zafascynowanie	zafascynować
olśnienie	olśnić
urzeknięcie	urzec
zauroczenie	zauroczyć
oczarowanie	oczarować
zadowolenie się	zadowolić się
usatysfakcjonowanie się	usatysfakcjonować się
rozamorowanie	rozamorować
zatkanie dziur	zatkać dziurę
zapchanie dziur	zapchać dziurę
ucieszenie	ucieszyć
uradowanie	uradować
rozradowanie	rozradować
wyrwanie	wyrwać
zarwanie	zarwać
nasycenie	nasycić
skuszenie	skusić
przywabienie	przywabić
znęcenie	znęcić
zwabienie	zwabić
przynęcenie	przynęcić
uderzenie	uderzyć
wlanie	wlać
zażycie	zażyć
przyciągnięcie	przyciągnąć
zaskoczenie	zaskoczyć
zdziwienie	zdziwić
zadziwienie	zadziwić
zdumienie	zdumieć
złapanie	złapać
nasunięcie	nasunąć
podrażnienie	podrażnić
porwanie	porwać
napełnienie	napełnić
naładowanie	naładować
rozemocjonowanie	rozemocjonować
podekscytowanie	podekscytować
zemocjonowanie	zemocjonować
podniecenie	podniecić
zelektryzowanie	zelektryzować
przygonienie	przygonić
przygnanie	przygnać
nastrojenie	nastroić
zastanowienie	zastanowić
danie do myślenia	dać do myślenia
rozpalenie	rozpalić
rozpłomienienie	rozpłomienić
spiorunowanie	spiorunować
poruszenie	poruszyć
ruszenie	ruszyć
przejęcie	przejąć
wstrząśnięcie	wstrząsnąć
zatrzęsienie	zatrząść
zainteresowanie	zainteresować
zaciekawienie	zaciekawić
zafrapowanie	zafrapować
zajęcie	zająć
nakręcenie	nakręcić
zauważenie	zauważyć
zaintrygowanie	zaintrygować
rozentuzjazmowanie	rozentuzjazmować
pochłonięcie	pochłonąć
zaabsorbowanie	zaabsorbować
zaprzątnięcie	zaprzątnąć
połechtanie	połechtać
połaskotanie	połaskotać
pogłaskanie	pogłaskać
uczulenie	uczulić
uwrażliwienie	uwrażliwić
wyczulenie	wyczulić
zajechanie	zajechać
uwolnienie	uwolnić
przywiązanie	przywiązać
wzbudzenie	wzbudzić
wzniecenie	wzniecić
rozbudzenie	rozbudzić
wyzwolenie	wyzwolić
wykrzesanie	wykrzesać
rozniecenie	rozniecić
obudzenie	obudzić
rozwalenie	rozwalić
zwrócenie uwagi	zwrócić uwagę
przykucie uwagi	przykuć uwagę
zapalenie	zapalić
rozmarzenie	rozmarzyć
tchnięcie	tchnąć
pociągnięcie	pociągnąć
przyniesienie	przynieść
pochłonięcie	pochłonąć
zabranie	zabrać
wywołanie	wywołać
podniecenie	podniecić
wprawienie	wprawić
zesłanie	zesłać
nadarzenie	nadarzyć
rozpętanie	rozpętać
poparzenie	poparzyć
rzucenie	rzucić
uczulenie	uczulić
usposobienie	usposobić
podrażnienie	podrażnić
rozanielenie	rozanielić
wniesienie	wnieść
