administracyjny	administracja
kalcytowy	kalcyt
stalagmitowy	stalagmit
barszczowy	barszcz
kabinowy	kabina
burdelowy	burdel
rafowy	rafa
przyssawkowy	przyssawka
saletrowy	saletra
saletrzany	saletra
szumowy	szum
kabinowy	kabina
kabinowy	kabina
kabinowy	kabina
bocznicowy	bocznica
kabinowy	kabina
egocentryczny	egocentryzm
eskalacyjny	eskalacja
glikemiczny	glikemia
kordonowy	kordon
kabinowy	kabina
krylowy	kryl
lepowy	lep
obsadowy	obsada
misiowy	miś
misiowy	miś
obsadowy	obsada
obsadowy	obsada
mrówczany	mrówka
młotkowy	młotek
maniakalny	mania
kondensatorowy	kondensator
miodnikowy	miodnik
albuminowy	albumina
młotkowy	młotek
młotkowy	młotek
grysowy	grys
janisławicki	Janisławice
fosfolipidowy	fosfolipid
chromianowy	chromian
długościowy	długość
głębokościowy	głębokość
akuszeryjny	akuszerstwo
akuszeryjny	akuszerka
biometeorologiczny	biometeorologia
fotorealistyczny	fotorealizm
fagotowy	fagot
otchłanny	otchłań
świetlny	światło
bioterapeutyczny	bioterapia
aforystyczny	aforystyka
aforystyczny	aforystyka
aforystyczny	aforyzm
allosteryczny	allosteria
chemigraficzny	chemigrafia
antyfonalny	antyfona
bezpieczniacki	bezpieczniak
mrówkowy	mrówka
bonowy	bon
bonowy	bon
intendencki	intendent
kompetencyjny	kompetencja
kompetencyjny	kompetencja
makaronikowy	makaronik
maniokowy	maniok
deliktowy	delikt
przydziałowy	przydział
przebitkowy	przebitka
przebitkowy	przebitka
przebitkowy	przebitka
abolicjonistyczny	abolicjonista
abolicjonistyczny	abolicjonizm
abolicjonistyczny	abolicjonista
abolicjonistyczny	abolicjonizm
obrysowy	obrys
pokrywowy	pokrywa
pokrywowy	pokrywa
pokrywowy	pokrywa
łasiczy	łasica
bezpiecznikowy	bezpiecznik
bezpiecznikowy	bezpiecznik
eurokomunistyczny	eurokomunizm
karawaningowy	karawaning
karawaningowy	karawaning
caravaningowy	caravaning
caravaningowy	caravaning
alandzki	Wyspy Alandzkie
hebrydzki	Hebrydy
keratynowy	keratyna
wiedźmowy	wiedźma
euroregionalny	euroregion
grawecki	kultura grawecka
walczakowy	walczak
puzonowy	puzon
wodorotlenkowy	wodorotlenek
patchworkowy	patchwork
patchworkowy	patchwork
gazodynamiczny	gazodynamika
nowofalowy	Nowa Fala
nowofalowy	nowa fala
nowofalowy	Nowa Fala
nowofalowy	Nowa Fala
stalowniczy	stalownictwo
stalowniczy	stalownia
dziesięcinny	dziesięcina
przenośnikowy	przenośnik
przenośnikowy	przenośnik
rozbiegowy	rozbieg
wyszogrodzki	Wyszogród
wyszogrodzki	Wyszogród
zachodny	zachód
zachodny	zachód
chlorkowy	chlorek
litosferyczny	litosfera
mahajanistyczny	mahajana
marihuanowy	marihuana
nitowy	nit
plikowy	plik
dziegciowy	dziegieć
naukoznawczy	naukoznawstwo
tekstologiczny	tekstologia
siarczynowy	siarczyn
skatowy	skat
skatowy	skating
softwarowy	software
szopkowy	szopka
oceanologiczny	oceanologia
Priamowy	Priam
radiochemiczny	radiochemia
bioluminescencyjny	bioluminescencja
chemiluminescencyjny	chemiluminescencja
enologiczny	enologia
ojnologiczny	ojnologia
fekalny	fekalia
ekskrementalny	ekskrementy
fiszbinowy	fiszbin
geotektoniczny	geotektonika
wykładzinowy	wykładzina
kaparowy	kapar
epicedialny	epicedium
janisławicki	kultura janisławicka
zachłystowy	zachłyst
wodorowęglanowy	wodorowęglan
skuterowy	skuter
skuterowy	skuter wodny
skuterowy	skuter śnieżny
wersologiczny	wersologia
inicjałowy	inicjał
inicjałowy	inicjał
akapitowy	akapit
recenzyjny	recenzja
naskórkowy	naskórek
bojowniczy	bój
bojowniczy	bojownik
dankowicki	Dankowice
eklezjologiczny	eklezjologia
enkaustyczny	enkaustyka
krezusowy	krezus
laserunkowy	laserunek
laserunkowy	laserunek
prążkowy	prążek
nazwiskowy	nazwisko
korniszonowy	korniszon
okrzemkowy	okrzemka
proboszczowy	proboszcz
biżuteryjny	biżuteria
węgorzowy	węgorz
okoniowy	okoń
tercjowy	tercja
kwintowy	kwinta
dominantowy	dominanta
trendowy	trend
trendowy	trend
tyflopedagogiczny	tyflopedagogika
tyflopsychologiczny	tyflopsychologia
tyflopsychologiczny	tyflopsycholog
alkoholowy	alkoholizm
tyflopedagogiczny	tyflopedagog
samowładczy	samowładztwo
satemowy	język satem
śnieżnicki	Masyw Śnieżnika
śpiączkowy	śpiączka
wdecki	Wda
zembrzycki	Zembrzyce
wdecki	Wda
abstraktowy	abstrakt
bluegrassowy	bluegrass
ochocki	Ochota
ochocki	Ochock
Piłatowy	Piłat
strażowy	straż
strażowy	straż
szwarcwaldzki	Schwarzwald
zelandzki	Zelandia
zelandzki	Zelandia
bieżny	bieg
demontażowy	demontaż
gilowy	gil
globowy	glob
globowy	glob
opryszczkowy	opryszczka
dezaktywacyjny	dezaktywacja
dezaktywacyjny	dezaktywacja
dezaktywacyjny	dezaktywacja
łasicowy	łasica
wyburzeniowy	wyburzenie
dysjunktywny	dysjunkcja
transseksualny	transseksualista
transseksualny	transseksualizm
zachodniobeskidzki	Beskidy Zachodnie
gorsetowy	gorset
himalaistyczny	himalaista
himalaistyczny	himalaizm
eutanazyjny	eutanazja
geomorfologiczny	geomorfologia
kapadocki	Kapadocja
dwubrzuścowy	mięsień dwubrzuścowy
długopisowy	długopis
pigmentowy	pigment
mejotyczny	mejoza
rododendronowy	rododendron
skowronkowy	skowronek
świerklaniecki	Świerklaniec
trynidadzki	Trynidad
winklowy	winkiel
ciastkowy	ciastko
autoryzacyjny	autoryzacja
mezzosopranowy	mezzosopran
mezzosopranowy	mezzosopran
ostrygowy	ostryga
operacjonistyczny	operacjonizm
podiebradzki	Podiebrady
małżowy	małż
przesyłkowy	przesyłka
reakcyjny	reakcja chemiczna
reakcyjny	reakcja
reakcyjny	reakcja
interwałowy	interwał
bebopowy	bebop
adiutancki	adiutant
stokowy	stok
dziurowy	dziura
kiwicki	Kiwity
nektarowy	nektar
neuronalny	neuron
reperacyjny	reperacja
rzutny	rzut
zamówieniowy	zamówienie
zadłużeniowy	zadłużenie
ulicowy	ulica
strojeniowy	strojenie
zbiornikowy	zbiornik
abdykacyjny	abdykacja
chinowy	chinowiec
gwajakowy	gwajak
konsystorialny	konsystorz
zbiornikowy	zbiornik
zbiornikowy	skała zbiornikowa
kapilarny	kapilara
homiletyczny	homiletyka
homiletyczny	homilia
kółkowy	kółko
drabinowy	drabina
Hipokratesowy	Hipokrates
Hipokratesowski	Hipokrates
fastfoodowy	fast food
greifswaldzki	Greifswald
hamburgerowy	hamburger
partenogenetyczny	partenogeneza
piechotny	piechota
refektarzowy	refektarz
spadziowy	spadź
Archimedesowy	Archimedes
promocyjny	promocja
bliźnięcy	bliźnię
wenedzki	Wenedzi
unietycki	kultura unietycka
anamorficzny	anamorfoza
cukrzany	cukier
statusowy	status
immunizacyjny	immunizacja
segmentarny	segment
tuberkulinowy	tuberkulina
tymolowy	tymol
zestawieniowy	zestawienie
katamnestyczny	katamneza
jassowy	jass
jazowy	jaz
nagłosowy	nagłos
przekątniowy	przekątna
bumerangowy	bumerang
erfurcki	Erfurt
korzecki	Korzec
korzecki	Korzecko
olsztynecki	Olsztynek
szczęśliwicki	Szczęśliwice
tematowy	temat
tematowy	temat
lodowy	lód
lodowy	lody
sandałowy	sandał
ireniczny	irenizm
karotenowy	karoten
prekaryjny	prekarium
protokólarny	protokół
tikowy	tik
zawiesinowy	zawiesina
synchronistyczny	synchronizm
stauropigialny	stauropigia
studniowy	studnia
tuzinowy	tuzin
tyczkowy	tyczka
waszmościny	waszmość
waszmościn	waszmość
wielbłądzi	wielbłąd
wygnańczy	wygnaniec
wygnańczy	wygnanie
wygnańczy	wygnanie
zesłańczy	zesłanie
zesłańczy	zesłaniec
bemolowy	bemol
ornamentowy	ornament
ornamentowy	ornament
sagowy	sagowiec
sagowy	saga
sagowy	saga
gobeliniarski	gobeliniarstwo
okleinowy	okleina
brusznicowy	brusznica
południowoazjatycki	Azja Południowa
żetonowy	żeton
wręgowy	wręg
wręgowy	wręga
wręgowy	wręg
wręgowy	wręga
łozinowy	łozina
łozowy	łoza
łozowy	łoza
meandrowy	meander
betelowy	betel
betelowy	betel
dywizjonowy	dywizjon
sztukateryjny	sztukateria
miniaturyzacyjny	miniaturyzacja
mollowy	moll
łozinowy	łozina
łozowy	łoza
kółkowy	kółko
kółkowy	kółko
amerykanistyczny	amerykanistyka
banknotowy	banknot
castingowy	casting
przewodowy	przewód
castingowy	casting
przewodowy	przewód
kablowy	telewizja kablowa
ciężarkowy	ciężarek
przedurodzeniowy	urodzenie
ciężarkowy	ciężarek
ciężarkowy	ciężarek
deprywacyjny	deprywacja
zębny	ząb
dortmundzki	Dortmund
marglowy	margiel
psychogeriatryczny	psychogeriatria
polderowy	polder
litowy	lit
splicki	Split
tautomeryczny	tautomeria
szynkowy	szynk
tatusiowy	tatuś
plebiscytarny	plebiscyt
posesyjny	posesja
powtórzeniowy	powtórzenie
pieczeniowy	pieczeń
woszczynowy	woszczyna
prelekcyjny	prelekcja
trzyniecki	Trzyniec
wykładowczy	wykład
wykładowczy	wykładowca
czetnicki	czetnik
demotyczny	demotyka
donacyjny	donacja
donacyjny	donacja
butylowy	butyl
parowozowy	parowóz
oskarowy	oskar
spirytualny	spirytualizm
orgastyczny	orgazm
orgazmiczny	orgazm
majoracki	majorat
manipularny	manipuł
przystaniowy	przystań
recyklingowy	recykling
runowy	runo
runowy	runy
runowy	runa
homagialny	homagium
wodorkowy	wodorek
mianownikowy	mianownik
dopełniaczowy	dopełniacz
celownikowy	celownik
biernikowy	biernik
kwilecki	Kwilcz
nesycki	Nesa
mikocki	kultura mikocka
mechatroniczny	mechatronika
melasowy	melasa
hakowy	hak
hakowy	hak
hakowy	hak
kolektorowy	kolektor
kolektorowy	kolektor
janowiecki	Janowiec Wielkopolski
janowiecki	Janowiec
woszczynowy	woszczyna
woskowinowy	woskowina
zrazowy	zraz
akantowy	akant
arekowy	areka
dogrywkowy	dogrywka
dogrywkowy	dogrywka
dogrywkowy	dogrywka
dominowy	domino
lotosowy	poród lotosowy
dewaluacyjny	dewaluacja
poematowy	poemat
korespondencki	korespondent
minaretowy	minaret
fototechniczny	fototechnika
ślazowy	ślaz
powierniczy	powiernictwo
powierniczy	powiernictwo
lepkościowy	lepkość
macowy	Mac
szelkowy	szelka
telenowelowy	telenowela
lokomotywowy	lokomotywa
tarninowy	tarnina
starożytniczy	starożytnictwo
leptosomiczny	leptosomatyk
funkowy	funk
serpentynitowy	serpentynit
papuzi	papuga
polderowy	polder
biomagnetyczny	biomagnetyzm
edredonowy	edredon
hemoroidalny	hemoroid
hemoroidalny	hemoroid
hemoroidalny	hemoroidy
feodalny	feodalizm
gwarecki	gwarek
hemostatyczny	hemostaza
hieroglifowy	hieroglify
hieroglifowy	hieroglif
punkrockowy	punkrock
yassowy	yass
aspirynowy	aspiryna
kurenny	kureń
kamerowy	kamera
hibiskusowy	hibiskus
hezychastyczny	hezychazm
podegrodzki	Podegrodzie
grafowy	graf
giecki	Giecz
cewicki	Cewice
jastrychowy	jastrych
kiermaszowy	kiermasz
bebechowy	bebech
aproksymacyjny	aproksymacja
kurczęcy	kurczę
kurczęcy	kurczę
lemieszowy	lemiesz
gwarecki	gwarectwo
wigoniowy	wigoń
wigoniowy	wigonia
potencjometryczny	potencjometria
pozaprogramowy	program
pigmentacyjny	pigmentacja
retransmisyjny	retransmisja
purnonsensowy	purnonsens
rewaluacyjny	rewaluacja
skatologiczny	skatologia
strunobetonowy	strunobeton
pozaprogramowy	program
surrealny	surrealizm
pozaprogramowy	program
wysięgnikowy	wysięgnik
autoregulacyjny	autoregulacja
bilonowy	bilon
złotniczy	złotnik
interferometryczny	interferometr
interferometryczny	interferometria
łabędzi	łabędź
lemieszowy	lemiesz
liczkowy	liczko
mikrochemiczny	mikrochemia
girlandowy	girlanda
dętkowy	dętka
interpelacyjny	interpelacja
anestezyjny	anestezja
buduarowy	buduar
złotniczy	złotnictwo
literniczy	liternictwo
literniczy	liternik
literniczy	litera
fechtunkowy	fechtunek
fotometryczny	fotometria
piżamowy	piżama
lontowy	lont
śródczaszkowy	czaszka
autokreacyjny	autokreacja
kajutowy	kajuta
krzywiczny	krzywica
prezydencjalny	prezydencja
prezydencjalny	prezydencjalizm
lemieszowy	lemiesz
molowy	mol
molarny	mol
molarny	mol
wielorybi	wieloryb
trenowy	tren
adwokatowy	adwokat
ajerkoniakowy	ajerkoniak
antologiczny	antologia
kolaudacyjny	kolaudacja
kolaudacyjny	kolaudacja
sybarycki	Sybaris
sankcyjny	sankcja
trytonowy	tryton
sankcyjny	sankcja
trytonowy	tryton
pojedynkowy	pojedynek
alejowy	aleja
pojedynkowy	pojedynek
pojedynkowy	pojedynek
onomastyczny	onomastyka
pasywistyczny	pasywizm
belgradzki	Belgrad
biotechniczny	biotechnika
spektrometryczny	spektrometria
tarciowy	tarcie
elektrowniany	elektrownia
strzykawkowy	strzykawka
tatowy	tata
tatowy	tato
aleuronowy	aleuron
werandowy	weranda
amnestyczny	amnezja
autorotacyjny	autorotacja
autorotacyjny	autorotacja
błonnikowy	błonnik
witaminowy	witamina
rekonwalescencyjny	rekonwalescencja
rekonwalescencki	rekonwalescent
rekonwalescencki	rekonwalescencja
szpaltowy	szpalta
szpaltowy	szpalta
gettowy	getto
gettowy	getto
konfidencki	konfident
alertowy	alert
swarzędzki	Swarzędz
warcki	Warta
alertowy	alert
wyszehradzki	Wyszehrad
wyszegradzki	Wyszegrad
akceptacyjny	akceptacja
galwaniczny	galwanizacja
inicjatywny	inicjatywa
kazimierzowy	Jan Kazimierz
kazimierzowy	Kazimierz II Sprawiedliwy
koniczynowy	koniczyna
etosowy	etos
obediencyjny	obediencja
odroślowy	odrośl
odsyłaczowy	odsyłacz
odsyłaczowy	odsyłacz
krytykancki	krytykant
platformowy	platforma
platformowy	platforma
ssaczy	ssak
kurnikowy	kurnik
kłowy	kieł
marzeniowy	marzenie
świątyniowy	świątynia
metatekstowy	metatekst
metatekstowy	metatekst
monogeniczny	monogeneza
refleksywny	refleks
refleksywny	refleksywność
refleksywny	refleksja
całożyciowy	życie
krabowy	krab
limitowy	limit
grzegórzecki	Grzegórzki
nomadyczny	nomada
nomadzki	nomada
obwodnicowy	obwodnica
perypatetyczny	perypatetyk
perypatetyczny	perypatetyka
prądnicowy	prądnica
sceptycki	sceptycyzm
sceptycki	sceptyk
sukienkowy	sukienka
sukienkowy	sukienkowy
wyobraźniowy	wyobraźnia
beatyfikacyjny	beatyfikacja
intronizacyjny	intronizacja
Kartezjuszowy	Kartezjusz
Kartezjuszowski	Kartezjusz
kazeinowy	kazeina
imaginacyjny	imaginacja
menonicki	menonityzm
menonicki	menonici
metalogiczny	metalogika
antyegalitarny	antyegalitaryzm
azylancki	azylant
manuałowy	manuał
odciekowy	odciek
republikański	Partia Republikańska
republikancki	republika
stralsundzki	Stralsund
nagrodowy	nagroda
borsukowy	borsuk
ekstrapolacyjny	ekstrapolacja
ekstrapolacyjny	ekstrapolacja
gnoseologiczny	gnoseologia
judykacyjny	judykatura
kompletacyjny	kompletacja
krupniczy	krupa
krupniczy	krupiarz
słuchowiskowy	słuchowisko
sobolowy	soból
mamowy	mama
wyrażeniowy	wyrażenie
wyrażeniowy	wyrażenie
wodomierzowy	wodomierz
wyrażeniowy	wyrażenie
biesiadniczy	biesiadnik
chlorowodorowy	chlorowodór
jegomościn	jegomość
jegomościny	jegomość
gołąbkowy	gołąbek
generatywny	generatywizm
generatywistyczny	generatywizm
gołąbkowy	Gołąbek
gołąbkowy	gołąbek
gołębiowy	gołąb
konceptualny	konceptualizm
nalewkowy	nalewka
fosforawy	fosfor
konceptualny	koncepcja
nacjonalny	nacja
trąbkowy	trąbka
walcowniczy	walcownictwo
radioelektryczny	radioelektryka
akwafortowy	akwaforta
prospektowy	prospekt
trąbkowy	trąbka Eustachiusza
trąbkowy	trąbka słuchowa
waltorniowy	waltornia
bankierowy	bankier
kalibracyjny	kalibracja
mamutowy	mamut
pętlicowy	pętlica
prospektowy	prospekt
metapsychiczny	metapsychika
nihilistyczny	nihilizm
przedpokojowy	przedpokój
spekulancki	spekulanctwo
spekulancki	spekulant
rudowy	ruda
zlewozmywakowy	zlewozmywak
żonkilowy	żonkil
wzruszeniowy	wzruszenie
anglicki	anglic
aplikancki	aplikant
aplikancki	aplikacja
aplikancki	aplikacja
aplikacyjny	aplikacja
muszkatelowy	muszkatel
muszkatowy	muszkat
muszkatelowy	muszkatel
muszkatowy	muszkat
muskatowy	muskat
sumowy	sum
sumowy	sum
flądrowy	flądra
flądrowy	flądra
sumowy	suma
sumowy	suma
adwekcyjny	adwekcja
allilowy	allil
andezytowy	andezyt
bruzdowy	bruzda
polifoniczny	polifonia
polifoniczny	polifonia
porankowy	poranek
rozbłyskowy	rozbłysk
beneficjalny	beneficjum
beneficjalny	beneficjum
biocybernetyczny	biocybernetyka
kampusowy	kampus
campusowy	campus
paletowy	paleta
cherubinowy	cherubin
cherubowy	cherub
paletowy	paleta
panturecki	panturkizm
dyktatorialny	dyktatura
technikolorowy	technikolor
technicolorowy	technicolor
striptizowy	striptiz
wierzchosławicki	Wierzchosławice
brygadowy	brygada
akceleracyjny	akceleracja
brygadowy	brygada
akceleracyjny	akceleracja
dekonstruktywistyczny	dekonstruktywizm
dioksynowy	dioksyna
dekonstruktywistyczny	dekonstruktywizm
koalescencyjny	koalescencja
formułkowy	formułka
kategoryzacyjny	kategoryzacja
krosnowy	krosno
motorowerowy	motorower
rozporkowy	rozporek
krosnowy	krosno
azaliowy	azalia
pniowy	pień mózgu
balsamowy	balsam
leningradzki	Leningrad
pniowy	pień
przedżniwny	żniwa
przywidzki	Przywidz
refowy	ref
limonowy	limona
taurydzki	Tauryda
limetkowy	limetka
limonkowy	limonka
limonowy	limona
limetkowy	limetka
zderzakowy	zderzak
cukrowniany	cukrownia
fiordowy	fiord
hipopotami	hipopotam
impaktowy	impakt
impakcyjny	impakcja
intensyfikacyjny	intensyfikacja
intensyfikacyjny	intensyfikacja
komarzy	komar
małorealistyczny	mały realizm
kwarkowy	kwark
bioinżynieryjny	bioinżynieria
bułczany	bułka
bułczany	bułka tarta
bolometryczny	bolometr
immatrykulacyjny	immatrykulacja
planimetryczny	planimetr
planimetryczny	planimetria
świeczkowy	świeczka
riasowy	rias
staccatowy	staccato
degustacyjny	degustacja
degustacyjny	degustacja
dryftowy	dryft
dryftowy	dryft
gazonowy	gazon
lędzki	Ląd
zderzeniowy	zderzenie
acetonowy	aceton
superheterodynowy	superheterodyna
rabunkowy	rabunek
marmoladowy	marmolada
kopalowy	kopal
filarecki	filareta
rozruchowy	rozruch
rozruchowy	rozruch
denotacyjny	denotacja
szalejowy	szalej
szafowy	szafa
bębnowy	bęben
refleksowy	refleks
żakietowy	żakiet
śródgłosowy	śródgłos
sykomorowy	sykomora
substytucyjny	substytucja
substytucyjny	substytucja
miligramowy	miligram
cenestetyczny	cenestezja
dekonstrukcyjny	dekonstrukcja
głębinny	głębina
głębinowy	głębina
helgolandzki	Helgoland
kąpieliskowy	kąpielisko
kulturalnojęzykowy	kultura języka
mytny	myto
sufiksowy	sufiks
palatograficzny	palatografia
neutralizacyjny	neutralizacja
neutralizacyjny	neutralizacja
łęcki	Łęki
łęcki	Łęka Opatowska
łęcki	Łęki Małe
łęcki	Łęki Dukielskie
łęcki	Łęki Strzyżowskie
łęcki	Łęki Szlacheckie
łęcki	Łęka Wielka
łęcki	Łęki
łęcki	Łęki Kościelne
łęcki	Łęki Górne
łechtaczkowy	łechtaczka
cyklopi	cyklop
dziaduniowy	dziadunio
dziaduniowy	dziadunio
hemowy	hem
karaluszy	karaluch
majestatowy	majestat
ekosystemowy	ekosystem
adolescencyjny	adolescencja
elektrotermiczny	elektrotermia
babkowy	babka
babkowy	babka
hostelowy	hostel
androgenny	androgen
kawczy	kawka
lubczykowy	lubczyk
babkowy	babka
babkowy	babka
etylenowy	etylen
keksowy	keks
neurolingwistyczny	neurolingwista
neurolingwistyczny	neurolingwistyka
pseudointelektualny	pseudointelektualista
pseudointelektualny	pseudointelektualizm
bisowy	bis
rdestowy	rdest
hiperinflacyjny	hiperinflacja
suszarniczy	suszarnictwo
suszarniczy	suszarnia
zodiakowy	zodiak
makrelowy	makrela
oborowy	obora
koncernowy	koncern
krystalizacyjny	krystalizacja
krystalizacyjny	krystalizacja
wyłączeniowy	wyłączenie
wyłączeniowy	wyłączenie
metylenowy	metylen
miastecki	Miastko
polanicki	Polanica-Zdrój
zwrotowy	zwrot
parobczy	parobek
parobczy	parobek
generyczny	generyk
wadowski	Wadowice
klimontowski	Klimontów
bogdaniecki	Bogdaniec
bogdaniecki	Bogdaniec
amonitowy	amonit
amonitowy	amonity
hydrożelowy	hydrożel
raczy	rak
kafarowy	kafar
sierakowicki	Sierakowice
sierakowicki	Sierakowice
konfiturowy	konfitura
krynolinowy	krynolina
postawangardowy	postawangarda
postrzyżynowy	postrzyżyny
rezydencki	rezydentura
rezydencki	rezydent
powierzchniowy	powierzchnia
żurawiany	żuraw
liściany	liść
podgardlany	podgardle
podgardlany	podgardle
synkopowy	synkopa
sztambuchowy	sztambuch
capi	cap
capi	cap
kąpieliskowy	kąpielisko
chloroplastowy	chloroplast
grillowy	grill
grillowy	grill
kulturalnojęzykowy	kultura języka
tyrozynowy	tyrozyna
sumacyjny	sumacja
kameliowy	kamelia
wysokoniemiecki	język wysokoniemiecki
anagramowy	anagram
anagramowy	anagram
plantowy	planty
asfodelowy	asfodel
ekwatorialny	ekwator
pozajądrowy	jądro
topspinowy	topspin
findesieclowy	fin de siècle
wistowy	wist
mediumistyczny	mediumizm
przekąskowy	przekąska
mediumistyczny	medium
fitofenologiczny	fitofenologia
karaicki	karaita
karaimski	karaim
budyniowy	budyń
karaicki	Karaita
kitesurfingowy	kitesurfing
metronomiczny	metronom
monomeryczny	monomer
szesnastkowy	szesnastka
ósemkowy	ósemka
ósemkowy	ósemka
ćwierćnutowy	ćwierćnuta
półnutowy	półnuta
całonutowy	cała nuta
ligocki	Ligota Książęca
ligocki	Ligota Turawska
ligocki	Ligota-Ligocka Kuźnia
ligocki	Ligota
ligocki	Ligota
ligocki	Ligotka Kameralna
myszyniecki	Myszyniec
majtkowy	majtki
poplonowy	poplon
dewastacyjny	dewastacja
dewastacyjny	dewastacja
blankowy	blank
cegiełkowy	cegiełka
melonowy	melon
trzecioświatowy	Trzeci Świat
esdecki	esdek
facjalny	facja
facjalny	facja
hajducki	hajduk
hajducki	hajduk
hajducki	hajduk
harpunowy	harpun
kończynowy	kończyna
receptowy	recepta
zakaźny	zakażenie
rejowy	reja
Rejowy	Rej
parowy	para
oscyloskopowy	oscyloskop
poczwarczy	poczwarka
poczwarkowy	poczwarka
sinicowy	sinica
pępowinowy	pępowina
antroponimiczny	antroponimia
radiestetyczny	radiestezja
antroponimiczny	antroponim
ryolitowy	ryolit
riolitowy	riolit
chłopacki	chłopak
kurczakowy	kurczak
tętniczy	tętnica
kurczakowy	kurczak
apaszowy	apasz
aplitowy	aplit
strudlowy	strudel
amidystyczny	amidyzm
anemonowy	anemon
armilarny	armila
nożowniczy	nożownik
nożowniczy	nóż
nożowniczy	nożownik
przędzalniany	przędzalnia
szamanistyczny	szamanizm
fonematyczny	fonem
konsensusowy	konsensus
konsensowy	konsens
mityngowy	mityng
grobowcowy	grobowiec
mityngowy	mityng
metrażowy	metraż
pokucki	Pokucie
prawoznawczy	prawoznawca
prawoznawczy	prawoznawstwo
elewatorowy	elewator
komatyczny	koma
komatyczny	koma
komatyczny	komat
hamletyczny	hamletyzm
żlebowy	żleb
wypiekowy	wypiek
żołdacki	żołdak
gluonowy	gluon
powierzchniowy	powierzchnia
niebny	niebo
niebny	niebo
przeszczepowy	przeszczep
przeszczepowy	przeszczep
szafranny	szafran
powrotny	powrót
stronny	strona
zakrystyjny	zakrystia
osjaniczny	Osjan
prowentowy	prowent
wypiekowy	wypiek
omamowy	omam
rusalny	rusałka
tuszowy	tusz
współdzielczy	spółdzielnia
akustoelektroniczny	akustoelektronika
tujowy	tuja
żywotnikowy	żywotnik
antysemicki	antysemityzm
antysemicki	antysemita
żydożerczy	żydożerstwo
żydożerczy	żydożerca
trymowy	trym
czcionkowy	czcionka
czcionkowy	czcionka
dopaminowy	dopamina
jadeitowy	jadeit
cysteinowy	cysteina
emporowy	empora
kociołkowy	kociołek
krawatowy	krawat
symbolowy	symbol
symbolowy	symbol
wahabicki	wahabizm
wahhabicki	wahhabizm
elektrometryczny	elektrometria
filiacyjny	filiacja
filiacyjny	filiacja
kataklizmowy	kataklizm
telekopiowy	telekopia
artrockowy	art rock
grzechowy	grzech
etnomuzykologiczny	etnomuzykologia
kwadrantowy	kwadrant
komnatowy	komnata
epifanijny	epifania
kwaterowy	kwatera
kwaterowy	kwatera
panazjatycki	panazjatyzm
testosteronowy	testosteron
progesteronowy	progesteron
adeninowy	adenina
cyklonowy	cyklon
leopardowy	Leopard
leopardowy	leopard
leopardowy	leopard
nazwowy	nazwa
membranowy	membrana
informacyjny	informacja
medialny	medium
papowy	papa
papowy	PAP
papowy	papa
patefonowy	patefon
poddaszowy	poddasze
sułtanowy	sułtan
kalifowy	kalif
chalifowy	chalif
kwaterunkowy	kwaterunek
przekonaniowy	przekonanie
brukwiowy	brukiew
rautowy	raut
rautowy	raut
brukwiany	brukiew
brukwiowy	brukiew
tamowy	tama
sapropelowy	sapropel
triowy	trio
triowy	trio
sabataistyczny	sabataizm
genomowy	genom
pirymidynowy	pirymidyna
zanętowy	zanęta
toczniowy	toczeń
substantywny	substantywizacja
żeńszeniowy	żeń-szeń
globulinowy	globulina
okęcki	Okęcie
moratoryjny	moratorium
perkunowy	Perkun
żerowy	żer
żerowy	żer
piórowy	pióro
billingowy	billing
fajczany	fajka
marżowy	marża
piórowy	pióro
piórowy	pióro
rozdrożny	rozdroże
solmizacyjny	solmizacja
prowancki	Prowansja
sromotnikowy	sromotnik
tulejowy	tuleja
szpagatowy	szpagat
tajfunowy	tajfun
tragifarsowy	tragifarsa
podpisowy	podpis
podpisowy	podpis
przyciskowy	przycisk
równonocny	równonoc
acetylocholinowy	acetylocholina
predykcyjny	predykcja
serotoninowy	serotonina
oksytocynowy	oksytocyna
łyszkowicki	Łyszkowice
łyszkowicki	Łyszkowice
timokratyczny	timokracja
detroicki	Detroit
afiszowy	afisz
angelologiczny	angelologia
angeologiczny	angeologia
angelologiczny	angelologia
angeologiczny	angeologia
browarowy	browar
czyscowy	czyściec
drużbicki	Drużbice
pisklęcy	pisklę
angelologiczny	angelologia
padolny	padół
padolny	padół
pieluchowy	pielucha
annalistyczny	annalistyka
antyklinalny	antyklina
baldachimowy	baldachim
gaikowy	gaik
skorupkowy	skorupka
szlubny	ślub
zatokowaty	zatoka
iwanowicki	Iwanowice
iwanowicki	Iwanowice Włościańskie
arealny	areał
iwanowicki	Iwanowice Duże
buldoży	buldog
federacyjny	federacja
krystalochemiczny	krystalochemia
lipoproteinowy	lipoproteina
młotowy	młot
dupny	dupa
inwarowy	inwar
wambierzycki	Wambierzyce
żyletkowy	żyletka
autorefleksyjny	autorefleksja
córczyny	córka
dobroszycki	Dobroszyce
laskowicki	Laskowice Oławskie
formaldehydowy	formaldehyd
gwintowy	gwint
iwanowicki	Iwanowice Małe
rejowiecki	Rejowiec
rejowiecki	Rejowiec Fabryczny
rejowiecki	Rejowiec
izdebny	izba
żurawicki	Żurawica
karierowy	kariera
kieliszkowy	kieliszek
parówkowy	parówka
stycznikowy	stycznik
przesiękowy	przesięk
rojowy	rój
baryłkowy	baryłka
świtowy	świt
