akademik	dom akademicki
postaranie się	staranie się
wyeksploatowanie	eksploatowanie
wyciśnięcie	wyciskanie
wyduszenie	wyduszanie
użycie	używanie
posłużenie się	posługiwanie się
wyręczenie się	wyręczanie się
złupienie	łupienie
zmanipulowanie	manipulowanie
zatkanie dziury	zatykanie dziur
zapchanie dziury	zapychanie dziur
wysłużenie się	wysługiwanie się
wykorzystanie	wykorzystywanie
opicie	opijanie
wydojenie	dojenie
wyzyskanie	wyzyskiwanie
zarażenie się	zarażanie się
zeslawizowanie się	zeslawizowanie
zeslawizowanie się	slawizowanie się
zgermanizowanie się	germanizowanie się
zgermanizowanie się	zgermanizowanie
spolonizowanie się	spolonizowanie
spolonizowanie się	polonizowanie się
spolszczenie się	polszczenie się
zlatynizowanie się	zlatynizowanie
zlatynizowanie się	latynizowanie się
przyswojenie	przyswajanie
zasymilowanie	asymilowanie
zapożyczenie	zapożyczanie
zawłaszczenie	zawłaszczanie
zrusyfikowanie się	zrusyfikowanie
zrusyfikowanie się	rusyfikowanie się
zromanizowanie się	zromanizowanie
zromanizowanie się	romanizowanie się
zukrainizowanie się	zukrainizowanie
zukrainizowanie się	ukrainizowanie się
zamerykanizowanie się	zamerykanizowanie
zamerykanizowanie się	amerykanizowanie się
sturczenie się	sturczenie
sturczenie się	turczenie się
zarabizowanie się	arabizowanie się
zarabizowanie się	zarabizowanie
zjudaizowanie się	zjudaizowanie
zjudaizowanie się	judaizowanie się
zmadziaryzowanie się	zmadziaryzowanie
zmadziaryzowanie się	madziaryzowanie się
nawiązanie	nawiązywanie
odwołanie się	odwoływanie się
wyeksploatowanie	eksploatowanie
zrealizowanie	realizowanie
ucieknięcie się	uciekanie się do
zasadzenie	zasadzanie
oparcie	opieranie
oparcie się	opieranie się
zasadzenie się	zasadzanie się
oszczędzenie	oszczędzanie
zażycie	zażywanie
przyjęcie	przyjmowanie
zdyskontowanie	dyskontowanie
wzięcie	branie
powołanie się	powoływanie się
zagospodarowanie	zagospodarowywanie
podchwycenie	podchwytywanie
nadużycie	nadużywanie
zaaplikowanie	aplikowanie
użycie	używanie
wyzyskanie	wyzyskiwanie
wykorzystanie	wykorzystywanie
użycie	używanie
spożytkowanie	spożytkowywanie
zużytkowanie	zużytkowywanie
wzięcie	branie
wyeksploatowanie	eksploatowanie
wzięcie	branie
zaczerpnięcie	zaczerpywanie
zaćpanie	ćpanie
zajeżdżenie	zajeżdżanie
wysnucie	wysnuwanie
osnucie	osnuwanie
zabezpieczenie się	zabezpieczanie się
sięgnięcie	sięganie
zajeżdżenie	zajeżdżanie
zajechanie	zajeżdżanie
wrócenie	wracanie
zaczerpnięcie	zaczerpywanie
zaczerpnięcie	czerpanie
wzięcie	branie
sięgnięcie	sięganie
użycie	używanie
posłużenie się	posługiwanie się
zastosowanie	stosowanie
wykorzystanie	wykorzystywanie
skorzystanie	korzystanie
zajęcie	zajmowanie
kucnięcie	kucanie
położenie się	położenie
położenie się	kładzenie się
ułożenie się	układanie się
uniesienie się	unoszenie się
zerwanie się	zrywanie się
poderwanie się	podrywanie się
najeżenie się	najeżanie się
najeżenie się	jeżenie się
zjeżenie się	zjeżanie się
zjeżenie się	jeżenie się
stanięcie	stawanie
złożenie się	składanie się
wyciągnięcie gnatów	wyciąganie gnatów
rozłożenie się	rozkładanie się
rozciągnięcie się	rozciąganie się
rozpłaszczenie się	rozpłaszczanie się
wyciągnięcie kości	wyciąganie kości
wyciągnięcie się	wyciąganie się
ustawienie się	ustawianie się
wyprostowanie się	prostowanie się
wyprostowanie się	wyprostowywanie się
siądnięcie	siadanie
przykucnięcie	przykucanie
przysiądnięcie	przysiadywanie
przysiądnięcie	przysiadanie
zmienienie pozycji	zmienianie pozycji
wstanie	wstawanie
podniesienie się	podnoszenie się
powstanie	powstawanie
rozwalenie się	rozwalanie się
zwiśnięcie	zwisanie
upozowanie się	upozowywanie się
przyklęknięcie	przyklękiwanie
przeciągnięcie się	przeciąganie się
klęknięcie	klękanie
zakołysanie się	kołysanie się
rozkołysanie się	kołysanie się
rozbujanie się	bujanie się
rozhuśtanie się	huśtanie się
zamierzenie się	zamierzanie się
przymierzenie się	przymierzanie się
kiwnięcie się	kiwanie się
zatańczenie	tańczenie
zarojenie się	rojenie się
odtańczenie	tańczenie
poruszenie się	poruszanie się
ruszenie się	ruszenie
ruszenie się	ruszanie się
zamachnięcie się	zamachiwanie się
wyrejestrowanie	wyrejestrowywanie
odłączenie	odłączanie
wypisanie	wypisywanie
odgrodzenie	odgradzanie
pominięcie	pomijanie
oderwanie	odrywanie
wykluczenie	wykluczanie
wyłączenie	wyłączanie
rozłączenie	rozłączanie
rozdzielenie	rozdzielanie
zdyskwalifikowanie	dyskwalifikowanie
oddzielenie	oddzielanie
wyizolowanie	wyizolowywanie
wyizolowanie	izolowanie
naładowanie	naładowywanie
naładowanie	ładowanie
załadowanie	załadowywanie
załadowanie	ładowanie
władowanie	władowywanie
naszpikowanie	szpikowanie
upakowanie	pakowanie
wypakowanie	wypakowywanie
wypakowanie	pakowanie
upchanie	upychanie
upchnięcie	upychanie
wypełnienie	wypełnianie
napełnienie	napełnianie
zapełnienie	zapełnianie
wypchanie	wypychanie
wypchanie	pchanie
napchanie	napychanie
napompowanie	pompowanie
zasypanie	zasypywanie
nafaszerowanie	faszerowanie
zaplombowanie	plombowanie
zarysowanie	rysowanie
wypchnięcie się	wypychanie się
wypchanie się	wypychanie się
nadzianie	nadziewanie
zabudowanie	zabudowywanie
naszpikowanie	szpikowanie
zaplombowanie	plombowanie
zagrzebanie	zagrzebywanie
zagipsowanie	gipsowanie
obsadzenie	obsadzanie
zarybienie	zarybianie
zapchanie	zapychanie
zapchanie	zapychanie
zapchanie	pchanie
zawalenie	zawalanie
zastawienie	zastawianie
rozprostowanie	rozprostowywanie
rozprostowanie	prostowanie
wyprostowanie	wyprostowywanie
wyprostowanie	prostowanie
rozścielenie	rozścielanie
pościelenie	ścielenie
posłanie	słanie
otworzenie	otwieranie
roztoczenie	roztaczanie
wyciągnięcie	wyciąganie
rozczapierzenie	rozcapierzenie
rozczapierzenie	rozczapierzanie
rozcapierzenie	rozczapierzenie
rozpostarcie	rozpościeranie
rozłożenie	rozłożenie się
rozłożenie	rozkładanie
rozpięcie	rozpinanie
rozbicie	rozbijanie
rozwinięcie	rozwinięcie się
rozwinięcie	rozwijanie
odwinięcie	odwijanie
rozkręcenie	kręcenie
rozkręcenie	rozkręcanie
rozciągnięcie	rozciąganie
sięgnięcie	sięganie
wyciągnięcie ręki	wyciąganie ręki
obarczenie	obarczanie
nałożenie	nakładanie
przeciążenie	przeciążanie
oberwanie się	obrywanie się
przeładowanie	przeładowywanie
obładowanie	obładowywanie
objuczenie	objuczanie
obciążenie	obciążanie
wkręcenie	wkręcanie
wkręcenie	kręcenie
włożenie	wkładanie
pochowanie	chowanie
pogrzebanie	grzebanie
dopchanie	dopychanie
dopchnięcie	dopychanie
zakopanie	zakopywanie
wsadzenie	wsadzanie
podsadzenie	podsadzanie
podesłanie	słanie
pościelenie	ścielenie
posłanie	słanie
podścielenie	podścielanie
wśliźnięcie	wślizgiwanie
wścibienie	wścibianie
wściubienie	wściubianie
przełożenie	przekładanie
podłożenie	podkładanie
zabukowanie	bukowanie
zamówienie	zamawianie
zamelinowanie	zamelinowanie się
zamelinowanie	melinowanie
schronienie	chronienie
oszczędzenie	oszczędzanie
zadekowanie	zadekowanie się
zadekowanie	dekowanie
zarezerwowanie	rezerwowanie
zaszycie	zaszywanie
zakamuflowanie	kamuflowanie
zamaskowanie	zamaskowywanie
zamaskowanie	maskowanie
zamknięcie	zamykanie
ukrycie	krycie
ukrycie	ukrywanie
schowanie	chowanie
skrycie	krycie
skrycie	skrywanie
zachowanie	zachowywanie
zachowanie	chowanie
zatrzymanie	zatrzymywanie
schowanie	chowanie
zakamuflowanie	kamuflowanie
przechowanie	przechowywanie
przechowanie	chowanie
zdecentralizowanie	decentralizowanie
podparcie	podpieranie
wsparcie	wspieranie
ustawienie	ustawianie
postawienie	stawianie
rozstrzelenie	rozstrzeliwanie
ustawienie	ustawianie
rozstawienie	rozstawianie
podanie	podawanie
zaserwowanie	serwowanie
rozstawienie	rozstawianie
ugrupowanie	ugrupowywanie
sformowanie	formowanie
rozmieszczenie	rozmieszczenie się
rozmieszczenie	rozmieszczanie
rozlokowanie	rozlokowanie się
rozlokowanie	rozlokowywanie się
rozlokowanie	rozlokowywanie
naszprycowanie	szprycowanie
nafaszerowanie	faszerowanie
rozwinięcie	rozwinięcie się
rozwinięcie	rozwijanie
rozłożenie	rozkładanie
oparcie	opieranie
podbudowanie	podbudowywanie
rozwinięcie	rozwinięcie się
rozwinięcie	rozwijanie
podetknięcie	podtykanie
rozsianie	rozsiewanie
rozproszenie	rozpraszanie
rozrzucenie	rozrzucanie
rozklejenie	rozklejanie
rozlepienie	rozlepianie
namoczenie	namaczanie
zatoczenie	zataczanie
wtoczenie	wtaczanie
wprowadzenie	wprowadzanie
założenie	zakładanie
wstrzelenie	wstrzeliwanie
wstrzelanie	wstrzeliwanie
przewieszenie	przewieszanie
powieszenie	wieszanie
zawieszenie	zawieszanie
upchanie	upychanie
upchnięcie	upychanie
utkanie	utykanie
wtłoczenie	wtłaczanie
założenie	zakładanie
rozsadzenie	rozsadzanie
usadzenie	usadzanie
usadowienie	usadawianie
nakręcenie	nakręcanie
nakręcenie	kręcenie
zagłębienie	zagłębianie
wgłębienie	wgłębianie
wkopanie	wkopywanie
podtopienie	podtapianie
zadanie	zadawanie
wsypanie	wsypywanie
wzucie	wzuwanie
posadzenie	sadzenie
zapchanie	zapychanie
zapchanie	pchanie
zarzucenie	zarzucanie
narzucenie	narzucanie
przerzucenie	przerzucanie
zamknięcie	zamykanie
wwalenie	wwalanie
wszycie	wszywanie
pozostawienie	pozostawianie
zostawienie	zostawianie
powieszenie	wieszanie
zadokowanie	dokowanie
oflagowanie	oflagowywanie
oflagowanie	flagowanie
odwieszenie	odwieszanie
wcięcie	wcinanie
wstrzyknięcie	wstrzykiwanie
przystawienie	przystawianie
położenie	kładzenie
roztarcie	rozcieranie
doprowadzenie	doprowadzanie
podłączenie	podłączanie
podłożenie	podkładanie
umieszczenie	umieszczanie
ulokowanie	lokowanie
usytuowanie	sytuowanie
zlokalizowanie	lokalizowanie
umiejscowienie	umiejscowienie się
umiejscowienie	umiejscawianie
usadowienie	usadawianie
pogrążenie	pogrążenie się
pogrążenie	pogrążanie
nagłośnienie	nagłaśnianie
nagłośnienie	nagłośnianie
zatopienie	zatapianie
utopienie	topienie
odłożenie	odkładanie
pomieszczenie	pomieszczanie
wpuszczenie	wpuszczanie
nastawienie	nastawianie
postawienie	stawianie
usadowienie	usadawianie
usadowienie	sadowienie
zatrzaśnięcie	zatrzaskiwanie
zapuszczenie	zapuszczanie
podstawienie	podstawianie
uzbrojenie	uzbrajanie
wkopanie	wkopywanie
wkopnięcie	wkopywanie
zainstalowanie	instalowanie
zamontowanie	zamontowywanie
zamontowanie	montowanie
założenie	zakładanie
zastawienie	zastawianie
okulbaczenie	kulbaczenie
zaryglowanie	zaryglowywanie
wciśnięcie	wciskanie
zawieszenie	zawieszanie
zawieszenie	zawieszanie
obwieszenie	obwieszanie
wgniecenie	wgniatanie
wgięcie	wginanie
wdeptanie	wdeptywanie
danie w żyłę	dawanie w żyłę
wepchnięcie	wpychanie
wepchanie	wpychanie
przesypanie	przesypywanie
zaminowanie	minowanie
zanurzenie	zanurzenie się
zanurzenie	zanurzanie
podrzucenie	podrzucanie
wskoczenie	wskakiwanie
nakładzenie	kładzenie
wduszenie	wduszanie
podsunięcie	podsuwanie
wpakowanie	pakowanie
podwieszenie	podwieszanie
wtulenie głowy w ramiona	wtulanie głowy w ramiona
wciągnięcie głowy w ramiona	wciąganie głowy w ramiona
wciśnięcie głowy w ramiona	wciskanie głowy w ramiona
wtulenie	wtulanie
przyłączenie	przyłączanie
wczytanie	wczytywanie
oprawienie	oprawianie
wprawienie	wprawianie
zadokowanie	dokowanie
wkręcenie	wkręcanie
wkręcenie	kręcenie
ułożenie	układanie
zabezpieczenie	zabezpieczanie
uplasowanie	plasowanie
wpompowanie	wpompowywanie
wtłoczenie	wtłaczanie
obleczenie się	oblekanie się
przyobleczenie się	przyoblekanie się
włączenie	włączanie
wrzucenie	wrzucanie
osiodłanie	siodłanie
naniesienie	nanoszenie
zaciemnienie	zaciemnianie
przykrycie	przykrywanie
nakrycie	krycie
nakrycie	nakrywanie
zasypanie	zasypywanie
osłonięcie	osłanianie
zasłonięcie	zasłanianie
ocienienie	ocienianie
zacienienie	zacienianie
obudowanie	obudowywanie
obłożenie	obkładanie
zadekowanie	dekowanie
zakratowanie	kratowanie
zakrycie	krycie
zakrycie	zakrywanie
zagruzowanie	zagruzowywanie
odgrodzenie	odgradzanie
odgrodzenie	grodzenie
odcięcie	odcinanie
odgrodzenie	odgradzanie
wyizolowanie	wyizolowywanie
wyizolowanie	izolowanie
przegrodzenie	przegradzanie
przedzielenie	przedzielanie
przedzielenie	dzielenie
odizolowanie	izolowanie
przedzielenie	dzielenie
przedzielenie	przedzielanie
przedzielenie	dzielenie
rozdzielenie	rozdzielanie
odseparowanie	odseparowywanie
odseparowanie	separowanie
odizolowanie	izolowanie
odosobnienie	odosabnianie
odosobnienie	odosobnianie
przegrodzenie	przegradzanie
przegrodzenie	grodzenie
odgraniczenie	odgraniczanie
zdywersyfikowanie	dywersyfikowanie
spolaryzowanie	polaryzowanie
zgrupowanie	grupowanie
podzielenie	dzielenie
sklasyfikowanie	klasyfikowanie
zakwalifikowanie	kwalifikowanie
skategoryzowanie	kategoryzowanie
posegregowanie	segregowanie
posortowanie	sortowanie
stypizowanie	typizowanie
pogrupowanie	grupowanie
zatomizowanie	atomizowanie
zindywidualizowanie	indywidualizowanie
rozproszenie	rozpraszanie
rozparcelowanie	rozparcelowywanie
rozparcelowanie	parcelowanie
rozdrobnienie	rozdrabnianie
rozbicie	rozbijanie
spolaryzowanie	polaryzowanie
zróżnicowanie	różnicowanie
rozwarstwienie	rozwarstwianie
podzielenie	dzielenie
odejście	odchodzenie
wyjście	wychodzenie
ruszenie	ruszenie się
ruszenie	ruszanie
wyruszenie	wyruszanie
ruszenie się	ruszanie się
ruszenie się	ruszenie
zrównanie się	zrównywanie się
potruchtanie	truchtanie
wylecenie	wylatywanie
wystartowanie	startowanie
szarpnięcie	szarpanie
wypuszczenie się	wypuszczanie się
zacumowanie	cumowanie
wyrwanie	wyrywanie
pomaszerowanie	maszerowanie
dogonienie	doganianie
dopędzenie	dopędzanie
doścignięcie	dościganie
odjechanie	odjeżdżanie
odjechanie	jechanie
udanie się	udawanie się
sparaliżowanie	paraliżowanie
uwięzienie	więzienie
odcięcie	odcinanie
pogrzebanie	grzebanie
przekreślenie	przekreślanie
sparaliżowanie	paraliżowanie
złapanie	łapanie
zdyskwalifikowanie	dyskwalifikowanie
uniemożliwienie	uniemożliwianie
udaremnienie	udaremnianie
zmrożenie	mrożenie
uziemienie	uziemianie
ogłuszenie	ogłuszanie
wyłączenie	wyłączanie
oderwanie	odrywanie
oślepienie	oślepianie
ukłucie	kłucie
przeszkodzenie	przeszkadzanie
wtrącenie się	wtrącanie się
wtrącenie swoich trzech groszy	wtrącanie swoich trzech groszy
wybudzenie	wybudzanie
wejście w słowo	wchodzenie w słowo
przerwanie	przerywanie
zgilotynowanie	gilotynowanie
obudzenie	budzenie
przebudzenie	przebudzenie się
zatrzymanie	zatrzymywanie
zastopowanie	stopowanie
zablokowanie	zablokowywanie
zablokowanie	blokowanie
zerwanie	zrywanie
przeszkodzenie	przeszkadzanie
zawadzenie	zawadzanie
rozłączenie	rozłączanie
pokrzyżowanie	krzyżowanie
rozproszenie	rozpraszanie
zdekoncentrowanie	dekoncentrowanie
rozkojarzenie	rozkojarzanie
wyrwanie	wyrywanie
wytrącenie	wytrącanie
wtrącenie	wtrącanie
przebudzenie	przebudzanie
ocknięcie	ocknięcie się
przerwanie	przerywanie
przegonienie	przeganianie
przegnanie	przeganianie
namotanie	motanie
zamotanie	motanie
powikłanie	wikłanie
pogmatwanie	gmatwanie
pokomplikowanie	komplikowanie
skomplikowanie	komplikowanie
zagmatwanie	gmatwanie
zawikłanie	wikłanie
poplątanie	plątanie
zapętlenie	zapętlanie
storpedowanie	torpedowanie
oddalenie	oddalanie
zamulenie	zamulanie
odciągnięcie	odciąganie
zagłuszenie	zagłuszanie
zagłuszenie	głuszenie
odpędzenie	odpędzanie
przysłonięcie	przesłanianie
przesłonięcie	przesłanianie
zaciemnienie	zaciemnianie
opóźnienie	opóźnianie
przewleczenie	przewlekanie
utrudnienie	utrudnianie
namieszanie	mieszanie
opędzenie się	opędzanie się
zaawizowanie	awizowanie
uprzedzenie	uprzedzanie
zapowiedzenie	zapowiadanie
zaanonsowanie	anonsowanie
zagrożenie	grożenie
zagrożenie	grożenie
zapowiedzenie się	zapowiadanie się
zaszantażowanie	szantażowanie
przestrzeżenie	przestrzeganie
ostrzeżenie	ostrzeganie
zaalarmowanie	alarmowanie
zastrzeżenie	zastrzeganie
zastrzeżenie się	zastrzeganie się
zapowiedzenie	zapowiadanie
wtajemniczenie	wtajemniczanie
dopuszczenie do tajemnicy	dopuszczanie do tajemnicy
wydanie	wydawanie
wypaplanie	paplanie
wypłakanie	wypłakiwanie
odtajnienie	odtajnianie
objawienie	objawianie
powierzenie	powierzanie
wyniesienie	wynoszenie
sypnięcie	sypanie
zasypanie	zasypanie się
zdekonspirowanie	zdekonspirowanie się
zdekonspirowanie	dekonspirowanie
skompromitowanie	kompromitowanie
wyspowiadanie się	spowiadanie się
wyśpiewanie	śpiewanie
obnażenie	obnażanie
zdemaskowanie	demaskowanie
zasypanie się	zasypanie
zdradzenie się	zdradzanie się
wygadanie się	wygadywanie się
puszczenie farby	puszczanie farby
sypnięcie się	sypanie się
wysypanie się	wysypywanie się
ujawnienie	ujawnienie się
ujawnienie	ujawnienie się
ujawnienie	ujawnianie
wyjawienie	wyjawianie
zdradzenie	zdradzanie
odkrycie	odkrywanie
wyznanie	wyznawanie
ujawnienie się	ujawnianie się
ujawnienie się	ujawnienie
wkopanie	wkopywanie
powiedzenie	mówienie
powiedzenie	powiadanie
ogłoszenie	ogłaszanie
obwieszczenie	obwieszczanie
przemycenie	przemycanie
wskazanie	wskazywanie
pokazanie	pokazywanie
podanie	podawanie
odczytanie	odczytywanie
odgwizdanie	odgwizdywanie
odgwizdanie	gwizdanie
przyniesienie	przynoszenie
rozpisanie	rozpisywanie
ogłoszenie się	ogłaszanie się
odgwizdanie	odgwizdywanie
przelanie	przelewanie
wydanie	wydawanie
nabicie	nabijanie
nabicie	bicie
wydzwonienie	wydzwanianie
przywiezienie	przywożenie
wyczytanie	wyczytywanie
przekazanie	przekazywanie
powtórzenie	powtarzanie
wybicie	bicie
wybicie	wybijanie
doniesienie	donoszenie
zameldowanie	meldowanie
powiadomienie	powiadamianie
zawiadomienie	zawiadamianie
uwiadomienie	uwiadamianie
zasygnalizowanie	sygnalizowanie
podanie się	podawanie się
pokazanie	pokazywanie
poinstruowanie	instruowanie
pouczenie	pouczanie
odmeldowanie się	odmeldowywanie się
przyjęcie	przyjmowanie
zarzeknięcie się	zarzekanie się
zażegnanie się	zażegnywanie się
zaręczenie	zaręczanie
zaręczenie	ręczenie
zadenuncjowanie	denuncjowanie
zakablowanie	kablowanie
zaawizowanie	awizowanie
scharakteryzowanie	charakteryzowanie
przypomnienie	przypominanie
oznajmienie	oznajmianie
oświadczenie	oświadczanie
zasygnalizowanie	sygnalizowanie
zakapowanie	kapowanie
zgłoszenie się	zgłaszanie się
przybranie	przybieranie
obznajomienie	obznajamianie
poręczenie	poręczanie
przybliżenie	przybliżanie
napisanie	pisanie
przyświadczenie	przyświadczanie
doniesienie	donoszenie
utwierdzenie	utwierdzanie
wprowadzenie	wprowadzanie
poinformowanie	informowanie
danie znać	dawanie znać
udzielenie informacji	udzielanie informacji
zdeklarowanie się	deklarowanie się
zadeklarowanie się	deklarowanie się
zapoznanie	zapoznawanie
zaznajomienie	zaznajamianie
naskarżenie	skarżenie
uznanie	uznawanie
wezwanie	wzywanie
zaalarmowanie	alarmowanie
odmalowanie	odmalowywanie
potwierdzenie	potwierdzanie
przytwierdzenie	przytwierdzanie
zapewnienie	zapewnianie
upewnienie	upewnianie
zgodzenie się	zgadzanie się
przyznanie	przyznawanie
podzielenie	podzielanie
przypomnienie się	przypominanie się
wtajemniczenie	wtajemniczanie
zagwarantowanie	zagwarantowywanie
zagwarantowanie	gwarantowanie
wykrzyczenie	krzyczenie
wykrzyczenie	wykrzykiwanie
przytaknięcie	przytakiwanie
potaknięcie	potakiwanie
opisanie	opisywanie
poskromienie	poskramianie
ujarzmienie	ujarzmianie
wpieprzenie się	wpieprzanie się
wpierdolenie się	wpierdalanie się
przyłożenie noża do gardła	przykładanie noża do gardła
schrystianizowanie	chrystianizowanie
zamknięcie buzi	zamykanie buzi
zatkanie buzi	zatykanie buzi
zamknięcie ust	zamykanie ust
zatkanie ust	zatykanie ust
wyegzekwowanie	egzekwowanie
podkręcenie	podkręcanie
przegonienie	przeganianie
przepędzenie	pędzenie
wtrącenie się	wtrącanie się
wścibienie się	wścibianie się
wściubienie się	wściubianie się
okiełznanie	kiełznanie
okiełznanie	okiełznywanie
okiełzanie	kiełzanie
okiełzanie	okiełzywanie
zaaplikowanie	aplikowanie
zmuszenie	zmuszanie
wymuszenie	wymuszanie
przymuszenie	przymuszanie
zepchnięcie	spychanie
zdanie	zdawanie
nastręczenie się	nastręczanie się
przyparcie	przypieranie
przygwożdżenie	przygważdżanie
przyparcie do muru	przypieranie do muru
przyszpilenie	przyszpilanie
przyduszenie	przyduszanie
przetrzymanie	trzymanie
przetrzymanie	przetrzymywanie
wlepienie	wlepianie
zaprzężenie	zaprzęganie
wprzężenie	wprzęganie
wprzęgnięcie	wprzęganie
pośpieszenie	pośpieszanie
pospieszenie	pospieszanie
pogonienie	poganianie
przynaglenie	naglenie
przynaglenie	przynaglanie
popędzenie	popędzanie
ponaglenie	naglenie
ponaglenie	ponaglanie
podyktowanie	dyktowanie
zhellenizowanie	hellenizowanie
przegonienie	przeganianie
postawienie pod ścianą	stawianie pod ścianą
wytrzymanie	wytrzymywanie
zamknięcie gęby	zamykanie gęby
zamknięcie mordy	zamykanie mordy
zamknięcie pyska	zamykanie pyska
styranizowanie	tyranizowanie
danie wycisku	dawanie wycisku
narzucenie się	narzucanie się
potrzymanie	trzymanie
zamerykanizowanie	zamerykanizowanie się
zamerykanizowanie	amerykanizowanie
wsadzenie nosa	wsadzanie nosa
wetknięcie nosa	wtykanie nosa
wścibienie nosa	wścibianie nosa
wepchnięcie nosa	wpychanie nosa
wepchnięcie nosa	pchanie nosa
wsadzenie nosa w nie swoje sprawy	wsadzanie nosa w nie swoje sprawy
wetknięcie nosa w nie swoje sprawy	wtykanie nosa w nie swoje sprawy
wścibienie nosa w nie swoje sprawy	wścibianie nosa w nie swoje sprawy
wepchnięcie nosa w nie swoje sprawy	wpychanie nosa w nie swoje sprawy
wepchnięcie nosa w nie swoje sprawy	pchanie nosa w nie swoje sprawy
wsadzenie nosa w cudze sprawy	wsadzanie nosa w cudze sprawy
wetknięcie nosa w cudze sprawy	wtykanie nosa w cudze sprawy
wścibienie nosa w cudze sprawy	wścibianie nosa w cudze sprawy
wepchnięcie nosa w cudze sprawy	wpychanie nosa w cudze sprawy
wepchnięcie nosa w cudze sprawy	pchanie nosa w cudze sprawy
ściągnięcie	ściąganie
wymrożenie	wymrażanie
narzucenie	narzucanie
zagonienie	zaganianie
zapędzenie	zapędzanie
zagnanie	zaganianie
spojenie	spajanie
spojenie	pojenie
spicie	spijanie
spicie	picie
upicie	upijanie
upicie	picie
zastrzeżenie	zastrzeganie
zarezerwowanie	rezerwowanie
ubezpieczenie	ubezpieczanie
obwarowanie	obwarowywanie
poręczenie	poręczanie
zapewnienie	zapewnianie
odchowanie	odchowywanie
odchowanie	chowanie
wychowanie	chowanie
wychowanie	wychowywanie
podżyrowanie	żyrowanie
zabezpieczenie	zabezpieczanie
opatentowanie	patentowanie
wymówienie	wymawianie
zawarowanie	zawarowywanie
obstawienie	obstawianie
nagłośnienie	nagłośnianie
nagłośnienie	nagłaśnianie
nadanie rozgłosu	nadawanie rozgłosu
rozszczebiotanie	szczebiotanie
puszczenie	puszczanie
rozpowszechnienie	rozpowszechnianie
upowszechnienie	upowszechnianie
rozprzestrzenienie	rozprzestrzenianie
przeniesienie	przenoszenie
przeszczepienie	przeszczepianie
rozniesienie	roznoszenie
rozsianie	rozsiewanie
rozpaplanie	paplanie
spopularyzowanie	popularyzowanie
rozgłoszenie	rozgłaszanie
roztrąbienie	trąbienie
rozpowiedzenie	rozpowiadanie
rozgadanie	rozgadywanie
wylansowanie	lansowanie
rozpropagowanie	propagowanie
wyrządzenie	wyrządzanie
wykluczenie	wykluczanie
wyłączenie	wyłączanie
odtrącenie	odtrącanie
osamotnienie	osamotnianie
wyfrunięcie	wyfruwanie
wpuszczenie	wpuszczanie
odejście	odchodzenie
wyrządzenie krzywdy	wyrządzanie krzywdy
uczynienie czegoś złego	czynienie czegoś złego
urządzenie	urządzanie
załatwienie	załatwianie
oddalenie	oddalanie
wsławienie	wsławianie
rozsławienie	rozsławianie
opromienienie	opromienianie
porzucenie	porzucanie
zapomnienie	zapominanie
spłatanie	płatanie
zostawienie	zostawianie
pozostawienie	pozostawianie
rzucenie	rzucanie
opuszczenie	opuszczanie
mlaśnięcie	mlaskanie
zaszeptanie	szeptanie
odgwizdanie	odgwizdywanie
zawycie	wycie
zasapanie	sapanie
beknięcie	bekanie
zaszemranie	szemranie
zagwizdanie	gwizdanie
wyrwanie się	wyrywanie się
zakaszlenie się	kaszlenie
zaśpiewanie	śpiewanie
wydobycie głosu	wydobywanie głosu
odśpiewanie	odśpiewywanie
stęknięcie	stękanie
syknięcie	sykanie
syknięcie	syczenie
zasyczenie	syczenie
zachłyśnięcie się	zachłystywanie się
odezwanie się	odzywanie się
przemówienie	przemawianie
zabranie głosu	zabieranie głosu
pyknięcie	pykanie
ryknięcie	ryczenie
zachichotanie	chichotanie
fuknięcie	fukanie
prychnięcie	prychanie
jęknięcie	jęczenie
zajęczenie	jęczenie
nabarłożenie	barłożenie
napalenie	palenie
zaczadzenie	zaczadzanie
zasiarczenie	zasiarczanie
osmalenie	osmalanie
okopcenie	okopcanie
zaśmiecenie	zaśmiecanie
zaśmiecenie	śmiecenie
zasolenie	zasalanie
zadymienie	zadymianie
zatrucie	zatruwanie
skażenie	skażanie
zanieczyszczenie	zanieczyszczanie
zasmrodzenie	zasmradzanie
zasmrodzenie	smrodzenie
zamulenie	zamulanie
sklonowanie	klonowanie
skrzyżowanie	krzyżowanie
stłumienie	tłumienie
odprężenie	odprężanie
dobycie	dobywanie
rozkrzewienie	rozkrzewianie
zagrzechotanie	grzechotanie
zachrzęszczenie	chrzęszczenie
rozmnożenie	mnożenie
rozmnożenie	rozmnażanie
pomnożenie	pomnażanie
rozplenienie	rozplenianie
brząknięcie	brząkanie
brzęknięcie	brzękanie
szczęknięcie	szczękanie
zabrzęczenie	brzęczenie
wytworzenie dźwięku	wytwarzanie dźwięku
wydobycie	wydobywanie
pociągnięcie	pociąganie
ruszenie	ruszanie
poruszenie	poruszanie
wprawienie w ruch	wprawianie w ruch
targnięcie	targanie
nakręcenie	nakręcanie
nakręcenie	kręcenie
zatrzęsienie	trzęsienie
powleczenie	wleczenie
potrząśnięcie	potrząsanie
przetrząśnięcie	przetrząsanie
zamiecenie	zamiatanie
wahnięcie	wahanie
odkręcenie gazu	odkręcanie gazu
odpalenie	odpalanie
mignięcie	miganie
włączenie	włączanie
włączenie	włączanie
